CLEARING_TEXTO,FCS_ESTACION_RUTABUS,TISC_PERFIL,Count
01/03/2020,(02502) Terminal,(006) Apoyo Ciudadano,162
01/03/2020,(03000) Portal Suba,(002) Adulto Mayor,1240
01/03/2020,(03000) Portal Suba,(005) Discapacidad,366
01/03/2020,(03000) Portal Suba,(006) Apoyo Ciudadano,1584
01/03/2020,(03001) LA CAMPIÑA,(002) Adulto Mayor,189
01/03/2020,(03001) LA CAMPIÑA,(005) Discapacidad,49
01/03/2020,(03001) LA CAMPIÑA,(006) Apoyo Ciudadano,139
01/03/2020,(03002) SUBA - TV- 91,(002) Adulto Mayor,170
01/03/2020,(03002) SUBA - TV- 91,(005) Discapacidad,48
01/03/2020,(03002) SUBA - TV- 91,(006) Apoyo Ciudadano,205
01/03/2020,(03003) 21 ANGELES,(002) Adulto Mayor,58
01/03/2020,(03003) 21 ANGELES,(005) Discapacidad,21
01/03/2020,(03003) 21 ANGELES,(006) Apoyo Ciudadano,50
01/03/2020,(03004) GRATAMIRA,(002) Adulto Mayor,24
01/03/2020,(03004) GRATAMIRA,(005) Discapacidad,5
01/03/2020,(03004) GRATAMIRA,(006) Apoyo Ciudadano,34
01/03/2020,(03005) SUBA - AV. BOYACA,(002) Adulto Mayor,120
01/03/2020,(03005) SUBA - AV. BOYACA,(005) Discapacidad,22
01/03/2020,(03005) SUBA - AV. BOYACA,(006) Apoyo Ciudadano,120
01/03/2020,(03006) NIZA - CALLE 127,(002) Adulto Mayor,228
01/03/2020,(03006) NIZA - CALLE 127,(005) Discapacidad,29
01/03/2020,(03006) NIZA - CALLE 127,(006) Apoyo Ciudadano,189
01/03/2020,(03007) HUMEDAL CORDOBA,(002) Adulto Mayor,50
01/03/2020,(03007) HUMEDAL CORDOBA,(005) Discapacidad,4
01/03/2020,(03007) HUMEDAL CORDOBA,(006) Apoyo Ciudadano,42
01/03/2020,(03009) Av. Suba- Calle 116,(002) Adulto Mayor,130
01/03/2020,(03009) Av. Suba- Calle 116,(005) Discapacidad,20
01/03/2020,(03009) Av. Suba- Calle 116,(006) Apoyo Ciudadano,117
01/03/2020,(03010) PUENTE LARGO,(002) Adulto Mayor,123
01/03/2020,(03010) PUENTE LARGO,(005) Discapacidad,14
01/03/2020,(03010) PUENTE LARGO,(006) Apoyo Ciudadano,71
01/03/2020,(03011) SUBA - CALLE 100,(002) Adulto Mayor,171
01/03/2020,(03011) SUBA - CALLE 100,(005) Discapacidad,22
01/03/2020,(03011) SUBA - CALLE 100,(006) Apoyo Ciudadano,180
01/03/2020,(03012) SUBA - CALLE 95,(002) Adulto Mayor,211
01/03/2020,(03012) SUBA - CALLE 95,(005) Discapacidad,51
01/03/2020,(03012) SUBA - CALLE 95,(006) Apoyo Ciudadano,185
01/03/2020,(03013) RIO NEGRO,(002) Adulto Mayor,85
01/03/2020,(03013) RIO NEGRO,(005) Discapacidad,21
01/03/2020,(03013) RIO NEGRO,(006) Apoyo Ciudadano,73
01/03/2020,(03014) SAN MARTIN,(002) Adulto Mayor,7
01/03/2020,(03014) SAN MARTIN,(005) Discapacidad,3
01/03/2020,(03014) SAN MARTIN,(006) Apoyo Ciudadano,11
01/03/2020,(04000) Cabecera Calle 80,(002) Adulto Mayor,1730
01/03/2020,(04000) Cabecera Calle 80,(005) Discapacidad,296
01/03/2020,(04000) Cabecera Calle 80,(006) Apoyo Ciudadano,1233
01/03/2020,(04001) Quirigua,(002) Adulto Mayor,108
01/03/2020,(04001) Quirigua,(005) Discapacidad,26
01/03/2020,(04001) Quirigua,(006) Apoyo Ciudadano,88
01/03/2020,(04002) Carrera 90,(002) Adulto Mayor,131
01/03/2020,(04002) Carrera 90,(005) Discapacidad,28
01/03/2020,(04002) Carrera 90,(006) Apoyo Ciudadano,109
01/03/2020,(04003) Avenida Ciudad de Cali,(002) Adulto Mayor,192
01/03/2020,(04003) Avenida Ciudad de Cali,(005) Discapacidad,43
01/03/2020,(04003) Avenida Ciudad de Cali,(006) Apoyo Ciudadano,251
01/03/2020,(04004) La Granja,(002) Adulto Mayor,148
01/03/2020,(04004) La Granja,(005) Discapacidad,22
01/03/2020,(04004) La Granja,(006) Apoyo Ciudadano,136
01/03/2020,(04100) Carrera 77,(002) Adulto Mayor,201
01/03/2020,(04100) Carrera 77,(005) Discapacidad,55
01/03/2020,(04100) Carrera 77,(006) Apoyo Ciudadano,227
01/03/2020,(04101) Minuto de Dios,(002) Adulto Mayor,126
01/03/2020,(04101) Minuto de Dios,(005) Discapacidad,26
01/03/2020,(04101) Minuto de Dios,(006) Apoyo Ciudadano,105
01/03/2020,(04102) Avenida Boyaca,(002) Adulto Mayor,252
01/03/2020,(04102) Avenida Boyaca,(005) Discapacidad,53
01/03/2020,(04102) Avenida Boyaca,(006) Apoyo Ciudadano,240
01/03/2020,(04103) Las Ferias,(002) Adulto Mayor,90
01/03/2020,(04103) Las Ferias,(005) Discapacidad,5
01/03/2020,(04103) Las Ferias,(006) Apoyo Ciudadano,70
01/03/2020,(04104) Avenida 68,(002) Adulto Mayor,204
01/03/2020,(04104) Avenida 68,(005) Discapacidad,49
01/03/2020,(04104) Avenida 68,(006) Apoyo Ciudadano,212
01/03/2020,(04105) Carrera 53,(002) Adulto Mayor,77
01/03/2020,(04105) Carrera 53,(005) Discapacidad,22
01/03/2020,(04105) Carrera 53,(006) Apoyo Ciudadano,92
01/03/2020,(04106) Carrera 47,(002) Adulto Mayor,109
01/03/2020,(04106) Carrera 47,(005) Discapacidad,30
01/03/2020,(04106) Carrera 47,(006) Apoyo Ciudadano,121
01/03/2020,(04107) Escuela Militar,(002) Adulto Mayor,51
01/03/2020,(04107) Escuela Militar,(005) Discapacidad,16
01/03/2020,(04107) Escuela Militar,(006) Apoyo Ciudadano,60
01/03/2020,(04108) El Polo,(002) Adulto Mayor,90
01/03/2020,(04108) El Polo,(005) Discapacidad,9
01/03/2020,(04108) El Polo,(006) Apoyo Ciudadano,61
01/03/2020,(05000) Portal Américas,(002) Adulto Mayor,896
01/03/2020,(05000) Portal Américas,(005) Discapacidad,669
01/03/2020,(05000) Portal Américas,(006) Apoyo Ciudadano,2852
01/03/2020,(05001) Patio Bonito,(002) Adulto Mayor,146
01/03/2020,(05001) Patio Bonito,(005) Discapacidad,73
01/03/2020,(05001) Patio Bonito,(006) Apoyo Ciudadano,512
01/03/2020,(05002) Tintal,(002) Adulto Mayor,234
01/03/2020,(05002) Tintal,(005) Discapacidad,80
01/03/2020,(05002) Tintal,(006) Apoyo Ciudadano,388
01/03/2020,(05005) Transversal 86,(002) Adulto Mayor,54
01/03/2020,(05005) Transversal 86,(005) Discapacidad,15
01/03/2020,(05005) Transversal 86,(006) Apoyo Ciudadano,79
01/03/2020,(05100) Banderas P. Central,(002) Adulto Mayor,751
01/03/2020,(05100) Banderas P. Central,(005) Discapacidad,232
01/03/2020,(05100) Banderas P. Central,(006) Apoyo Ciudadano,681
01/03/2020,(05101) Mandalay - Cr.73,(002) Adulto Mayor,42
01/03/2020,(05101) Mandalay - Cr.73,(005) Discapacidad,8
01/03/2020,(05101) Mandalay - Cr.73,(006) Apoyo Ciudadano,25
01/03/2020,(05102) Av. Américas - Av. Boyacá,(002) Adulto Mayor,90
01/03/2020,(05102) Av. Américas - Av. Boyacá,(005) Discapacidad,29
01/03/2020,(05102) Av. Américas - Av. Boyacá,(006) Apoyo Ciudadano,112
01/03/2020,(05103) Marsella,(002) Adulto Mayor,97
01/03/2020,(05103) Marsella,(005) Discapacidad,36
01/03/2020,(05103) Marsella,(006) Apoyo Ciudadano,117
01/03/2020,(05105) Pradera,(002) Adulto Mayor,137
01/03/2020,(05105) Pradera,(005) Discapacidad,47
01/03/2020,(05105) Pradera,(006) Apoyo Ciudadano,261
01/03/2020,(05107) Américas - Cr.53,(002) Adulto Mayor,92
01/03/2020,(05107) Américas - Cr.53,(005) Discapacidad,58
01/03/2020,(05107) Américas - Cr.53,(006) Apoyo Ciudadano,192
01/03/2020,(06000) Portal Eldorado,(002) Adulto Mayor,900
01/03/2020,(06000) Portal Eldorado,(005) Discapacidad,375
01/03/2020,(06000) Portal Eldorado,(006) Apoyo Ciudadano,1417
01/03/2020,(06001) Modelia,(002) Adulto Mayor,63
01/03/2020,(06001) Modelia,(005) Discapacidad,12
01/03/2020,(06001) Modelia,(006) Apoyo Ciudadano,92
01/03/2020,(06002) Normandía,(002) Adulto Mayor,88
01/03/2020,(06002) Normandía,(005) Discapacidad,22
01/03/2020,(06002) Normandía,(006) Apoyo Ciudadano,80
01/03/2020,(06100) Av. Rojas,(002) Adulto Mayor,84
01/03/2020,(06100) Av. Rojas,(005) Discapacidad,11
01/03/2020,(06100) Av. Rojas,(006) Apoyo Ciudadano,86
01/03/2020,(06101) El Tiempo,(002) Adulto Mayor,95
01/03/2020,(06101) El Tiempo,(005) Discapacidad,29
01/03/2020,(06101) El Tiempo,(006) Apoyo Ciudadano,150
01/03/2020,(06102) Salitre El Greco,(002) Adulto Mayor,92
01/03/2020,(06102) Salitre El Greco,(005) Discapacidad,51
01/03/2020,(06102) Salitre El Greco,(006) Apoyo Ciudadano,180
01/03/2020,(06103) CAN,(002) Adulto Mayor,63
01/03/2020,(06103) CAN,(005) Discapacidad,15
01/03/2020,(06103) CAN,(006) Apoyo Ciudadano,104
01/03/2020,(06104) Gobernación,(002) Adulto Mayor,22
01/03/2020,(06104) Gobernación,(005) Discapacidad,7
01/03/2020,(06104) Gobernación,(006) Apoyo Ciudadano,42
01/03/2020,(06105) Quinta Paredes,(002) Adulto Mayor,37
01/03/2020,(06105) Quinta Paredes,(005) Discapacidad,4
01/03/2020,(06105) Quinta Paredes,(006) Apoyo Ciudadano,46
01/03/2020,(06106) Recinto Ferial,(002) Adulto Mayor,68
01/03/2020,(06106) Recinto Ferial,(005) Discapacidad,16
01/03/2020,(06106) Recinto Ferial,(006) Apoyo Ciudadano,69
01/03/2020,(06107) Ciudad Universitaria,(002) Adulto Mayor,66
01/03/2020,(06107) Ciudad Universitaria,(005) Discapacidad,15
01/03/2020,(06107) Ciudad Universitaria,(006) Apoyo Ciudadano,65
01/03/2020,(06108) Concejo de Bogotá,(002) Adulto Mayor,52
01/03/2020,(06108) Concejo de Bogotá,(005) Discapacidad,15
01/03/2020,(06108) Concejo de Bogotá,(006) Apoyo Ciudadano,79
01/03/2020,(06109) Centro Memoria,(002) Adulto Mayor,75
01/03/2020,(06109) Centro Memoria,(005) Discapacidad,28
01/03/2020,(06109) Centro Memoria,(006) Apoyo Ciudadano,120
01/03/2020,(06111) Universidades,(002) Adulto Mayor,212
01/03/2020,(06111) Universidades,(005) Discapacidad,45
01/03/2020,(06111) Universidades,(006) Apoyo Ciudadano,232
01/03/2020,(07000) Portal Sur,(002) Adulto Mayor,1051
01/03/2020,(07000) Portal Sur,(005) Discapacidad,420
01/03/2020,(07000) Portal Sur,(006) Apoyo Ciudadano,2302
01/03/2020,(07001) PERDOMO,(002) Adulto Mayor,132
01/03/2020,(07001) PERDOMO,(005) Discapacidad,37
01/03/2020,(07001) PERDOMO,(006) Apoyo Ciudadano,175
01/03/2020,(07002) MADELENA,(002) Adulto Mayor,176
01/03/2020,(07002) MADELENA,(005) Discapacidad,42
01/03/2020,(07002) MADELENA,(006) Apoyo Ciudadano,128
01/03/2020,(07003) SEVILLANA,(002) Adulto Mayor,96
01/03/2020,(07003) SEVILLANA,(005) Discapacidad,30
01/03/2020,(07003) SEVILLANA,(006) Apoyo Ciudadano,144
01/03/2020,(07004) VENECIA,(002) Adulto Mayor,218
01/03/2020,(07004) VENECIA,(005) Discapacidad,66
01/03/2020,(07004) VENECIA,(006) Apoyo Ciudadano,424
01/03/2020,(07005) ALQUERIA,(002) Adulto Mayor,148
01/03/2020,(07005) ALQUERIA,(005) Discapacidad,40
01/03/2020,(07005) ALQUERIA,(006) Apoyo Ciudadano,218
01/03/2020,(07006) General Santander,(002) Adulto Mayor,183
01/03/2020,(07006) General Santander,(005) Discapacidad,45
01/03/2020,(07006) General Santander,(006) Apoyo Ciudadano,278
01/03/2020,(07007) NQS - Calle 38A Sur,(002) Adulto Mayor,256
01/03/2020,(07007) NQS - Calle 38A Sur,(005) Discapacidad,82
01/03/2020,(07007) NQS - Calle 38A Sur,(006) Apoyo Ciudadano,431
01/03/2020,(07008) NQS - Calle 30 Sur,(002) Adulto Mayor,114
01/03/2020,(07008) NQS - Calle 30 Sur,(005) Discapacidad,29
01/03/2020,(07008) NQS - Calle 30 Sur,(006) Apoyo Ciudadano,99
01/03/2020,(07009) SENA,(002) Adulto Mayor,240
01/03/2020,(07009) SENA,(005) Discapacidad,60
01/03/2020,(07009) SENA,(006) Apoyo Ciudadano,270
01/03/2020,(07010) Bosa,(002) Adulto Mayor,64
01/03/2020,(07010) Bosa,(005) Discapacidad,42
01/03/2020,(07010) Bosa,(006) Apoyo Ciudadano,234
01/03/2020,(07101) CASTELLANA,(002) Adulto Mayor,24
01/03/2020,(07101) CASTELLANA,(005) Discapacidad,4
01/03/2020,(07101) CASTELLANA,(006) Apoyo Ciudadano,29
01/03/2020,(07102) NQS - CALLE 75,(002) Adulto Mayor,85
01/03/2020,(07102) NQS - CALLE 75,(005) Discapacidad,16
01/03/2020,(07102) NQS - CALLE 75,(006) Apoyo Ciudadano,100
01/03/2020,(07103) AV. CHILE,(002) Adulto Mayor,176
01/03/2020,(07103) AV. CHILE,(005) Discapacidad,60
01/03/2020,(07103) AV. CHILE,(006) Apoyo Ciudadano,258
01/03/2020,(07104) Simon Bolivar,(002) Adulto Mayor,109
01/03/2020,(07104) Simon Bolivar,(005) Discapacidad,18
01/03/2020,(07104) Simon Bolivar,(006) Apoyo Ciudadano,87
01/03/2020,(07105) MOVISTAR ARENA,(002) Adulto Mayor,88
01/03/2020,(07105) MOVISTAR ARENA,(005) Discapacidad,16
01/03/2020,(07105) MOVISTAR ARENA,(006) Apoyo Ciudadano,91
01/03/2020,(07106) EL CAMPIN,(002) Adulto Mayor,156
01/03/2020,(07106) EL CAMPIN,(005) Discapacidad,24
01/03/2020,(07106) EL CAMPIN,(006) Apoyo Ciudadano,169
01/03/2020,(07107) U. NACIONAL,(002) Adulto Mayor,101
01/03/2020,(07107) U. NACIONAL,(005) Discapacidad,15
01/03/2020,(07107) U. NACIONAL,(006) Apoyo Ciudadano,115
01/03/2020,(07108) Av. El Dorado,(002) Adulto Mayor,98
01/03/2020,(07108) Av. El Dorado,(005) Discapacidad,10
01/03/2020,(07108) Av. El Dorado,(006) Apoyo Ciudadano,45
01/03/2020,(07109) CAD,(002) Adulto Mayor,336
01/03/2020,(07109) CAD,(005) Discapacidad,94
01/03/2020,(07109) CAD,(006) Apoyo Ciudadano,367
01/03/2020,(07110) PALOQUEMAO,(002) Adulto Mayor,124
01/03/2020,(07110) PALOQUEMAO,(005) Discapacidad,41
01/03/2020,(07110) PALOQUEMAO,(006) Apoyo Ciudadano,230
01/03/2020,(07111) NQS - RICAURTE,(002) Adulto Mayor,125
01/03/2020,(07111) NQS - RICAURTE,(005) Discapacidad,44
01/03/2020,(07111) NQS - RICAURTE,(006) Apoyo Ciudadano,249
01/03/2020,(07112) COMUNEROS,(002) Adulto Mayor,271
01/03/2020,(07112) COMUNEROS,(005) Discapacidad,53
01/03/2020,(07112) COMUNEROS,(006) Apoyo Ciudadano,198
01/03/2020,(07113) SANTA ISABEL,(002) Adulto Mayor,138
01/03/2020,(07113) SANTA ISABEL,(005) Discapacidad,41
01/03/2020,(07113) SANTA ISABEL,(006) Apoyo Ciudadano,138
01/03/2020,(07200) Tygua-San José,(002) Adulto Mayor,49
01/03/2020,(07200) Tygua-San José,(005) Discapacidad,22
01/03/2020,(07200) Tygua-San José,(006) Apoyo Ciudadano,73
01/03/2020,(07201) Guatoque -Veraguas,(002) Adulto Mayor,29
01/03/2020,(07201) Guatoque -Veraguas,(005) Discapacidad,4
01/03/2020,(07201) Guatoque -Veraguas,(006) Apoyo Ciudadano,36
01/03/2020,(07503) SAN MATEO,(002) Adulto Mayor,831
01/03/2020,(07503) SAN MATEO,(005) Discapacidad,190
01/03/2020,(07503) SAN MATEO,(006) Apoyo Ciudadano,1161
01/03/2020,(07504) TERREROS,(002) Adulto Mayor,356
01/03/2020,(07504) TERREROS,(005) Discapacidad,126
01/03/2020,(07504) TERREROS,(006) Apoyo Ciudadano,801
01/03/2020,(07505) LEON XIII,(002) Adulto Mayor,128
01/03/2020,(07505) LEON XIII,(005) Discapacidad,47
01/03/2020,(07505) LEON XIII,(006) Apoyo Ciudadano,247
01/03/2020,(07506) DESPENSA,(002) Adulto Mayor,40
01/03/2020,(07506) DESPENSA,(005) Discapacidad,20
01/03/2020,(07506) DESPENSA,(006) Apoyo Ciudadano,75
01/03/2020,(08000) Portal Tunal,(002) Adulto Mayor,729
01/03/2020,(08000) Portal Tunal,(005) Discapacidad,579
01/03/2020,(08000) Portal Tunal,(006) Apoyo Ciudadano,2772
01/03/2020,(08001) Parque el Tunal,(002) Adulto Mayor,46
01/03/2020,(08001) Parque el Tunal,(005) Discapacidad,24
01/03/2020,(08001) Parque el Tunal,(006) Apoyo Ciudadano,186
01/03/2020,(08002) Biblioteca,(002) Adulto Mayor,49
01/03/2020,(08002) Biblioteca,(005) Discapacidad,23
01/03/2020,(08002) Biblioteca,(006) Apoyo Ciudadano,194
01/03/2020,(08100) Portal Tunal Cable,(002) Adulto Mayor,3
01/03/2020,(08100) Portal Tunal Cable,(005) Discapacidad,2
01/03/2020,(08100) Portal Tunal Cable,(006) Apoyo Ciudadano,29
01/03/2020,(09000) Cabecera Usme,(002) Adulto Mayor,794
01/03/2020,(09000) Cabecera Usme,(005) Discapacidad,552
01/03/2020,(09000) Cabecera Usme,(006) Apoyo Ciudadano,2285
01/03/2020,(09001) Molinos,(002) Adulto Mayor,403
01/03/2020,(09001) Molinos,(005) Discapacidad,255
01/03/2020,(09001) Molinos,(006) Apoyo Ciudadano,1112
01/03/2020,(09002) Consuelo,(002) Adulto Mayor,40
01/03/2020,(09002) Consuelo,(005) Discapacidad,40
01/03/2020,(09002) Consuelo,(006) Apoyo Ciudadano,176
01/03/2020,(09003) Socorro,(002) Adulto Mayor,62
01/03/2020,(09003) Socorro,(005) Discapacidad,44
01/03/2020,(09003) Socorro,(006) Apoyo Ciudadano,185
01/03/2020,(09004) Santa Lucía,(002) Adulto Mayor,226
01/03/2020,(09004) Santa Lucía,(005) Discapacidad,121
01/03/2020,(09004) Santa Lucía,(006) Apoyo Ciudadano,698
01/03/2020,(09100) Calle 40 Sur,(002) Adulto Mayor,239
01/03/2020,(09100) Calle 40 Sur,(005) Discapacidad,160
01/03/2020,(09100) Calle 40 Sur,(006) Apoyo Ciudadano,659
01/03/2020,(09101) Quiroga,(002) Adulto Mayor,69
01/03/2020,(09101) Quiroga,(005) Discapacidad,55
01/03/2020,(09101) Quiroga,(006) Apoyo Ciudadano,159
01/03/2020,(09103) Olaya,(002) Adulto Mayor,203
01/03/2020,(09103) Olaya,(005) Discapacidad,99
01/03/2020,(09103) Olaya,(006) Apoyo Ciudadano,377
01/03/2020,(09104) Restrepo,(002) Adulto Mayor,452
01/03/2020,(09104) Restrepo,(005) Discapacidad,222
01/03/2020,(09104) Restrepo,(006) Apoyo Ciudadano,939
01/03/2020,(09105) Río Fucha,(002) Adulto Mayor,82
01/03/2020,(09105) Río Fucha,(005) Discapacidad,38
01/03/2020,(09105) Río Fucha,(006) Apoyo Ciudadano,160
01/03/2020,(09106) Nariño,(002) Adulto Mayor,104
01/03/2020,(09106) Nariño,(005) Discapacidad,54
01/03/2020,(09106) Nariño,(006) Apoyo Ciudadano,162
01/03/2020,(09107) Hortúa,(002) Adulto Mayor,109
01/03/2020,(09107) Hortúa,(005) Discapacidad,66
01/03/2020,(09107) Hortúa,(006) Apoyo Ciudadano,217
01/03/2020,(09108) Hospital,(002) Adulto Mayor,28
01/03/2020,(09108) Hospital,(005) Discapacidad,23
01/03/2020,(09108) Hospital,(006) Apoyo Ciudadano,75
01/03/2020,(09109) Tercer Milenio,(002) Adulto Mayor,160
01/03/2020,(09109) Tercer Milenio,(005) Discapacidad,65
01/03/2020,(09109) Tercer Milenio,(006) Apoyo Ciudadano,240
01/03/2020,(09110) Avenida Jimenez,(002) Adulto Mayor,579
01/03/2020,(09110) Avenida Jimenez,(005) Discapacidad,275
01/03/2020,(09110) Avenida Jimenez,(006) Apoyo Ciudadano,1273
01/03/2020,(09111) Calle 19,(002) Adulto Mayor,243
01/03/2020,(09111) Calle 19,(005) Discapacidad,116
01/03/2020,(09111) Calle 19,(006) Apoyo Ciudadano,380
01/03/2020,(09113) Calle 22,(002) Adulto Mayor,146
01/03/2020,(09113) Calle 22,(005) Discapacidad,85
01/03/2020,(09113) Calle 22,(006) Apoyo Ciudadano,317
01/03/2020,(09114) Calle 26,(002) Adulto Mayor,147
01/03/2020,(09114) Calle 26,(005) Discapacidad,45
01/03/2020,(09114) Calle 26,(006) Apoyo Ciudadano,172
01/03/2020,(09115) Calle 34,(002) Adulto Mayor,224
01/03/2020,(09115) Calle 34,(005) Discapacidad,86
01/03/2020,(09115) Calle 34,(006) Apoyo Ciudadano,252
01/03/2020,(09116) Avenida 39,(002) Adulto Mayor,94
01/03/2020,(09116) Avenida 39,(005) Discapacidad,11
01/03/2020,(09116) Avenida 39,(006) Apoyo Ciudadano,144
01/03/2020,(09117) Calle 45,(002) Adulto Mayor,240
01/03/2020,(09117) Calle 45,(005) Discapacidad,72
01/03/2020,(09117) Calle 45,(006) Apoyo Ciudadano,270
01/03/2020,(09118) Marly,(002) Adulto Mayor,332
01/03/2020,(09118) Marly,(005) Discapacidad,108
01/03/2020,(09118) Marly,(006) Apoyo Ciudadano,515
01/03/2020,(09119) Calle 57,(002) Adulto Mayor,215
01/03/2020,(09119) Calle 57,(005) Discapacidad,56
01/03/2020,(09119) Calle 57,(006) Apoyo Ciudadano,258
01/03/2020,(09120) Calle 63,(002) Adulto Mayor,438
01/03/2020,(09120) Calle 63,(005) Discapacidad,157
01/03/2020,(09120) Calle 63,(006) Apoyo Ciudadano,636
01/03/2020,(09121) Las Flores,(002) Adulto Mayor,197
01/03/2020,(09121) Las Flores,(005) Discapacidad,67
01/03/2020,(09121) Las Flores,(006) Apoyo Ciudadano,323
01/03/2020,(09122) Calle 72,(002) Adulto Mayor,328
01/03/2020,(09122) Calle 72,(005) Discapacidad,86
01/03/2020,(09122) Calle 72,(006) Apoyo Ciudadano,477
01/03/2020,(09123) Calle 76,(002) Adulto Mayor,201
01/03/2020,(09123) Calle 76,(005) Discapacidad,77
01/03/2020,(09123) Calle 76,(006) Apoyo Ciudadano,284
01/03/2020,(10000) Portal 20 de Julio,(002) Adulto Mayor,1006
01/03/2020,(10000) Portal 20 de Julio,(005) Discapacidad,539
01/03/2020,(10000) Portal 20 de Julio,(006) Apoyo Ciudadano,2147
01/03/2020,(10001) Country Sur,(002) Adulto Mayor,218
01/03/2020,(10001) Country Sur,(005) Discapacidad,87
01/03/2020,(10001) Country Sur,(006) Apoyo Ciudadano,355
01/03/2020,(10002) Av. Primero de Mayo,(002) Adulto Mayor,337
01/03/2020,(10002) Av. Primero de Mayo,(005) Discapacidad,162
01/03/2020,(10002) Av. Primero de Mayo,(006) Apoyo Ciudadano,826
01/03/2020,(10003) Ciudad Jardín,(002) Adulto Mayor,63
01/03/2020,(10003) Ciudad Jardín,(005) Discapacidad,24
01/03/2020,(10003) Ciudad Jardín,(006) Apoyo Ciudadano,80
01/03/2020,(10004) Policarpa,(002) Adulto Mayor,50
01/03/2020,(10004) Policarpa,(005) Discapacidad,35
01/03/2020,(10004) Policarpa,(006) Apoyo Ciudadano,83
01/03/2020,(10005) Bicentenario,(002) Adulto Mayor,72
01/03/2020,(10005) Bicentenario,(005) Discapacidad,42
01/03/2020,(10005) Bicentenario,(006) Apoyo Ciudadano,179
01/03/2020,(10006) San Victorino,(002) Adulto Mayor,205
01/03/2020,(10006) San Victorino,(005) Discapacidad,83
01/03/2020,(10006) San Victorino,(006) Apoyo Ciudadano,430
01/03/2020,(10007) Las Nieves,(002) Adulto Mayor,144
01/03/2020,(10007) Las Nieves,(005) Discapacidad,69
01/03/2020,(10007) Las Nieves,(006) Apoyo Ciudadano,267
01/03/2020,(10008) San Diego,(002) Adulto Mayor,125
01/03/2020,(10008) San Diego,(005) Discapacidad,44
01/03/2020,(10008) San Diego,(006) Apoyo Ciudadano,189
01/03/2020,(10009) Museo Nacional,(002) Adulto Mayor,203
