nom sede IPS,nit IPS ,naturaleza,num digito_verificion,num nivel atencion,nom grupo capacidad ,nom descripcion capacidad ,num cantidad capacidad instalada
IPS CLINICA DE LA COSTA LTDA,800129856,Privada,5,,CAMAS,Adultos,129
CLINICA CENTRAL FUNDADORES,900038926,Privada,4,,CAMAS,Adultos,128
INSTITUTO NACIONAL DE CANCEROLOGIA - EMPRESA SOCIAL DEL ESTADO,899999092,Pública,7,3,CAMAS,Adultos,128
HOSPITAL UNIVERSITARIO FERNANDO TROCONIS,891780185,Pública,2,3,CAMAS,Adultos,128
UNIDAD DE SERVICIOS DE SALUD ENGATIVÁ CALLE 80,900971006,Pública,4,3,CAMAS,Adultos,125
CLINICA PALERMO,860006745,Privada,6,,CAMAS,Adultos,124
UNIDAD DE SERVICIOS DE SALUD SIMÓN BOLÍVAR,900971006,Pública,4,3,CAMAS,Adultos,124
HOSPITAL SAN JUAN DE DIOS,890303841,Privada,8,,CAMAS,Adultos,123
CORPORACION CLINICA UNIVERSIDAD COOPERATIVA DE COLOMBIA - CLINICA UCC,900213617,Privada,3,,CAMAS,Adultos,122
HOSPITAL SAN RAFAEL DE PASTO,891200274,Privada,2,,CAMAS,Cuidado Agudo Mental,122
MEDICADIZ S.A.S,800254132,Privada,6,,CAMAS,Adultos,122
CLINICA LOS NOGALES SAS,900291018,Privada,4,,CAMAS,Adultos,121
HOSPITAL FEDERICO LLERAS ACOSTA E.S.E.,890706833,Pública,9,3,CAMAS,Adultos,121
CLINICA REY DAVID,830023202,Privada,1,,CAMAS,Adultos,121
CENTROS ESPECIALIZADOS DE SAN VICENTE FUNDACION,900261353,Privada,9,,CAMAS,Adultos,120
EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL TUNJA,891800231,Pública,0,3,CAMAS,Adultos,120
CLINICA ANTIOQUIA S.A.,800190884,Privada,1,,CAMAS,Adultos,119
FUNDACION HOSPITALARIA SAN VICENTE DE PAUL,890900518,Privada,4,,CAMAS,Pediátrica,119
CLINICA SAN JOSE DE CUCUTA SA,800012189,Privada,7,,CAMAS,Adultos,119
HNAS. HOSPITALARIAS DEL SAGDO. CORAZON DE JESUS HOSPITAL MENTAL NUESTRA SRA. DEL PERPETUO SOCORRO,860007760,Privada,1,,CAMAS,Psiquiatría,118
CLINICA COMFAMILIAR,891480000,Privada,1,,CAMAS,Adultos,117
CLÍNICA SAN RAFAEL DUMIAN GIRARDOT,805027743,Privada,1,,CAMAS,Adultos,116
Clinica Esimed Cali Norte,800215908,Privada,8,,CAMAS,Adultos,116
CLINICA ESIMED DE LA 80,800215908,Privada,8,,CAMAS,Adultos,115
CLINICA DEL OCCIDENTE S.A.,860090566,Privada,1,,CAMAS,Adultos,115
CLINICA NUEVA RAFAEL URIBE URIBE SAS,900891513,Privada,3,,CAMAS,Adultos,115
CLINICA REINA SOFIA,800149384,Privada,6,,CAMAS,Adultos,114
CENTRO POLICLINICO DEL OLAYA,800149453,Privada,6,,CAMAS,Adultos,113
CLINICA DEL COUNTRY IPS,830005028,Privada,1,,CAMAS,Adultos,113
ESE HOSPITAL PSIQUIÁTRICO SAN CAMILO,890200500,Pública,9,2,CAMAS,Institución Paciente Crónico,113
CLINICA EL ROSARIO SEDE CENTRO,890905843,Privada,6,,CAMAS,Adultos,112
CLINICA FUNDADORES,860066191,Privada,2,,CAMAS,Adultos,112
HOSPITAL GENERAL SAN ISIDRO EMPRESA SOCIAL DEL ESTADO,800139366,Pública,0,1,CAMAS,Adultos,111
CLINICA SANTA MARIA SAS,800183943,Privada,7,,CAMAS,Adultos,111
HOSPITAL ROSARIO PUMAREJO DE LOPEZ,892399994,Pública,5,2,CAMAS,Adultos,110
FUNDACION HOSPTIAL SAN PEDRO,891200209,Privada,3,,CAMAS,Adultos,110
HOSPITAL UNIVERSITARIO DE SINCELEJO E.S.E,892280033,Pública,1,2,CAMAS,Adultos,110
SOCIEDAD MEDICA ANTIOQUEÑA S.A. SOMA,890903777,Privada,9,,CAMAS,Adultos,108
UNIDAD DE SERVICIOS DE SALUD MEISSEN,900958564,Pública,9,3,CAMAS,Adultos,108
NUEVA CLINICA SAN SEBASTIAN GIRARDOT,860066191,Privada,2,,CAMAS,Adultos,108
CLÍNICA MÉDICOS SEDE ALTA COMPLEJIDAD DEL CARIBE,824001041,Privada,6,,CAMAS,Adultos,107
CLÍNICA MISERICORDIA,900465319,Privada,4,,CAMAS,Adultos,106
CLINICA SANTO TOMÁS S.A,860001475,Privada,1,,CAMAS,Psiquiatría,106
CLINICA BLAS DE LEZO S.A.,890400693,Privada,1,,CAMAS,Adultos,106
CLINICA VIVE,900450008,Privada,3,,CAMAS,Farmacodependencia,106
UNIDAD DE SERVICIOS DE SALUD SAN BLAS,900959051,Pública,7,3,CAMAS,Adultos,103
Corporación Hospital Infantil Concejo de Medellín,900625317,Privada,7,,CAMAS,Pediátrica,102
UNIDAD DE SERVICIOS DE SALUD FRAY BARTOLOMÉ DE LAS CASAS,900971006,Pública,4,3,CAMAS,Psiquiatría,102
E.S.E. HOSPITAL MENTAL DE ANTIOQUIA,890905166,Pública,8,2,CAMAS,Farmacodependencia,100
ESE HOSPITAL SAN RAFAEL DE ITAGUI,890980066,Pública,9,2,CAMAS,Adultos,100
Clinica la Misericordia,900602320,Privada,0,,CAMAS,Psiquiatría,100
CLINICA LA MILAGROSA S.A,800067515,Privada,1,,CAMAS,Adultos,97
CLINICA SAN JUAN DE DIOS LA CEJA,890905154,Privada,1,,CAMAS,Psiquiatría,96
CLINICA ESIMED JUAN LUIS LONDOÑO,800215908,Privada,8,,CAMAS,Adultos,95
E.S.E. HOSPITAL LA MARIA,890905177,Pública,9,3,CAMAS,Adultos,94
SERVICIOS ESPECIALES DE SALUD,890807591,Mixta,5,,CAMAS,Adultos,93
CLINICA INTEGRAL DE EMERGENCIAS LAURA DANIELA S.A,900008328,Privada,1,,CAMAS,Pediátrica,93
CLINICA INTEGRAL DE EMERGENCIAS LAURA DANIELA S.A,900008328,Privada,1,,CAMAS,Adultos,92
CLINICA DEL CESAR S.A.,892300979,Privada,9,,CAMAS,Adultos,92
UNIDAD CLINICA LA MAGDALENA S.A.S,800038024,Privada,3,,CAMAS,Adultos,92
CLINICA MEDICAL S.A.S.,830507718,Privada,8,,CAMAS,Adultos,91
Clínica ESIMED Neiva,800215908,Privada,8,,CAMAS,Adultos,90
INSTITUTO ESPECIALIZADO EN SALUD MENTAL - IMES,801001323,Privada,4,,CAMAS,Psiquiatría,90
HOSPITAL DEL SARARE ESE,800231215,Pública,1,2,CAMAS,Adultos,89
INSTITUTO DE ORTOPEDIA INFANTIL ROOSEVELT,860013874,Privada,7,,CAMAS,Pediátrica,89
CLINÍCA VERSALLES S.A,810003245,Privada,1,,CAMAS,Adultos,88
HOSPITAL INTERNACIONAL DE COLOMBIA,900341526,Privada,1,,CAMAS,Adultos,88
E.S.E. HOSPITAL DEPARTAMENTAL MARIO CORREA RENGIFO,890399047,Pública,8,2,CAMAS,Adultos,88
ESE HOSPITAL CARISMA,890985405,Pública,5,2,CAMAS,Farmacodependencia,87
CLINICA DE MARLY,860002541,Privada,2,,CAMAS,Adultos,87
HOSPITAL UNIVERSITARIO FERNANDO TROCONIS,891780185,Pública,2,3,CAMAS,Psiquiatría,87
HOSPITAL UNIVERSITARIO C.A.R.I. E.S.E. SEDE ALTA COMPLEJIDAD,800253167,Pública,9,3,CAMAS,Adultos,86
HOSPITAL INFANTIL UNIVERSITARIO DE SAN JOSE,900098476,Privada,8,,CAMAS,Adultos,86
EMPRESA SOCIAL DEL ESTADO HOSPITAL LA DIVINA MISERICORDIA,900196347,Pública,6,2,CAMAS,Adultos,85
EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL DE FUSAGASUGA,890680025,Pública,1,2,CAMAS,Adultos,85
HOSPITAL ESPECIALIZADO GRANJA INTEGRAL E.S.E LERIDA TOLIMA,800116719,Pública,8,2,CAMAS,Psiquiatría,85
FUNDACION VALLE DEL LILI,890324177,Privada,5,,CAMAS,Cuidado Intensivo Adulto,85
Fundación Clinica del Norte,900421895,Privada,6,,CAMAS,Adultos,84
CLINICA CARDIO VID,811046900,Privada,4,,CAMAS,Adultos,84
FUNDACION AMIGOS DE LA SALUD,812005522,Privada,1,,CAMAS,Adultos,84
E.S.E. HOSPITAL DEPÀRTAMENTAL TOMAS URIBE URIBE DE TULUA ESE EMPRESA SOCIAL DEL ESTADO,891901158,Pública,4,2,CAMAS,Adultos,84
E.S.E HOSPITAL UNIVERSITARIO ERASMO MEOZ,800014918,Pública,9,3,CAMAS,Pediátrica,83
CLINICA ESIMED PEREIRA,800215908,Privada,8,,CAMAS,Adultos,83
CLINICA CRISTO REY CALI,900951033,Privada,8,,CAMAS,Adultos,83
CLINICA ESIMED JORGE PIÑEROS CORPAS,800215908,Privada,8,,CAMAS,Adultos,82
HOSPITAL INFANTIL NAPOLEON FRANCO PAREJA,890480135,Privada,3,,CAMAS,Pediátrica,82
FUNDACION HOSPITAL SAN JOSE,891380054,Privada,1,,CAMAS,Adultos,82
CLINICA CENTRO S.A,802021332,Privada,1,,CAMAS,Adultos,81
HOSPITAL INFANTIL LOS ANGELES,891200240,Privada,2,,CAMAS,Pediátrica,81
SEDE GONZALEZ VALENCIA,890209698,Privada,9,,CAMAS,Adultos,81
REMY IPS SAS SUCURSAL MEDELLÍN,900589178,Privada,5,,CAMAS,Psiquiatría,80
CENTRO TERAPEUTICO PACTOS IPS,900810142,Privada,8,,SALAS,Procedimientos,80
CLINICA NUEVA,860010783,Privada,1,,CAMAS,Adultos,80
CLINICA DEL COUNTRY IPS,830005028,Privada,1,,CAMAS,Pediátrica,80
CLINICA UNIVERSIDAD DE LA SABANA,832003167,Privada,3,,CAMAS,Adultos,80
REMY IPS SASAIMA,900589178,Privada,5,,CAMAS,Salud Mental,80
ESE HOSPITAL MENTALUNIVERSITARIO DE RISARALDA,891412134,Pública,1,2,CAMAS,Psiquiatría,80
JORGE HUMBERTO GONZÁLEZ NOREÑA,890907254,Pública,7,2,CAMAS,Adultos,79
UNIDAD DE SERVICIOS DE SALUD EL TUNAL,900958564,Pública,9,3,CAMAS,Adultos,79
CLINICA ESIMED IBAGUE,800215908,Privada,8,,CAMAS,Adultos,79
CLINICA DEL PRADO CIUDAD DEL RIO,890938774,Privada,8,,CAMAS,Obstetricia,78
FUNDACION HOSPITAL UNIVERSITARIO METROPOLITANO,890108597,Privada,1,,CAMAS,Adultos,78
CLINICA AMIGA,890303208,Privada,5,,CAMAS,Adultos,78
FUNDACION CAMPBELL,900002780,Privada,0,,CAMAS,Adultos,77
CLINICA CEDES LTDA,800193989,Privada,8,,CAMAS,Adultos,77
SOCIEDAD DE ENFERMERAS PROFESIONALES SAS - SEP SAS,860400547,Privada,3,,CAMAS,Adultos,75
REMY IPS SAS,900589178,Privada,5,,CAMAS,Psiquiatría,75
ADMINISTRADORA CLINICA LA COLINA SAS,900582598,Privada,3,,CAMAS,Adultos,75
CLINICA DEL CAFE DUMIAN MEDICAL,805027743,Privada,1,,CAMAS,Adultos,75
HOSPITAL SAN RAFAEL DE EL ESPINAL EMPRESA SOCIAL DEL ESTADO E.S.E.,890701033,Pública,0,2,CAMAS,Adultos,75
FUNDACION CLINICA INFANTIL CLUB NOEL,890399020,Privada,1,,CAMAS,Pediátrica,75
CLINICA FARALLONES S.A.,800212422,Privada,7,,CAMAS,Adultos,75
CLINICA PORTOAZUL S.A SIGLA CPA,900248882,Privada,1,,CAMAS,Adultos,74
UNIDAD DE SERVICIOS DE SALUD DESPERTAR,900959051,Pública,7,3,CAMAS,Institución Paciente Crónico,74
CLINICA CENTRAL DEL QUINDIO SAS,900848340,Privada,4,,CAMAS,Adultos,74
CLINICA UNIVERSITARIA BOLIVARIANA,890902922,Privada,6,,CAMAS,Adultos,73
Vidacoop Alta Complejidad IPS,802018505,Privada,6,,CAMAS,Adultos,73
CLINICA MEDILASER S.A. FLORENCIA,813001952,Privada,0,,CAMAS,Adultos,73
ESE Hospital Marco Fidel Suárez Sede 02 Niquía,890985703,Pública,5,2,CAMAS,Adultos,72
NUEVA CLINICA SAGRADO CORAZON S.A.S,900408220,Privada,1,,CAMAS,Adultos,72
CLINICA LA ASUNCION,890102140,Privada,0,,CAMAS,Adultos,72
CLINICA MEDILASER,813001952,Privada,0,,CAMAS,Adultos,72
CENTROS HOSPITALARIOS DEL CARIBE S.A.S.,900520510,Privada,0,,CAMAS,Adultos,72
CLINICA SALUD SOCIAL S.A.S,823002991,Privada,9,,CAMAS,Adultos,72
SOCIEDAD MÉDICOQUIRÚRGICA DEL TOLIMA SOCIEDAD ANÓNIMA Y/O CLÍNICA TOLIMA S.A.,890703630,Privada,7,,CAMAS,Adultos,72
CLINICA NUESTRA SEDE IBAGUE,805023423,Privada,1,,CAMAS,Adultos,72
UNIDAD DE SERVICIOS DE SALUD VICTORIA,900959051,Pública,7,3,CAMAS,Adultos,71
UNIDAD DE SALUD MENTAL SENTIRBIEN S.A.S,901000449,Privada,1,,CAMAS,Psiquiatría,71
Clinica Hispanoamerica,900335691,Privada,2,,CAMAS,Adultos,71
CMS PINARES MEDICA,900112820,Privada,9,,CAMAS,Adultos,71
CLINICA CHINITA SA,800123572,Privada,1,,SALAS,Quirófano,2
"HOSPITAL GENERAL DE MEDELLÍN LUZ CASTRO DE GUTIERREZ, EMPRESA SOCIAL DEL ESTADO",890904646,Pública,7,3,CAMAS,Obstetricia,70
CLINICA UNIVERSITARIA EL BOSQUE,830138802,Privada,5,,CAMAS,Adultos,70
HOSPITAL INFANTIL UNIVERSITARIO DE SAN JOSE,900098476,Privada,8,,CAMAS,Pediátrica,70
EMPRESA SOCIAL DEL ESTADO CLINICA MATERNIDAD RAFAEL CALVO,806001061,Pública,8,2,CAMAS,Obstetricia,70
INSTITUTO NEUROPSIQUIATRICO NUESTRA SEÑORA DEL CARMEN INSECAR,819006193,Privada,1,,CAMAS,Psiquiatría,70
CLINICA DE URGENCIAS BUCARAMANGA S.A.S,900581702,Privada,9,,CAMAS,Adultos,70
clinica Comfenalco,900612531,Privada,0,,CAMAS,Adultos,70
HOSPITAL PABLO TOBON URIBE,890901826,Privada,2,,CAMAS,Pediátrica,69
KATZWEINGORT Y CIA LTDA CLINICA LA MERCED,800094898,Privada,1,,CAMAS,Adultos,69
HOSPITAL DEPARTAMENTAL HOSPITAL MARIA INMACULADA ESE,891180098,Pública,5,2,CAMAS,Adultos,69
CORPORACIÓN PARA LA SALUD INTEGRAL S.A.S. - CORPOSALUD S.A.S.,900335692,Privada,1,,CAMAS,Adultos,69
E.S.E HOSPITAL SAN VICENTE DE PAÚL DE CALDAS,890907215,Pública,1,2,CAMAS,Adultos,68
HOSPITAL DEPARTAMENTAL UNIVERSITARIO SANTA SOFIA DE CALDAS,890801099,Pública,5,3,CAMAS,Adultos,68
NATIONAL CLINICS CENTENARIO SAS,900702981,Privada,8,,CAMAS,Adultos,67
IPS DE LAS AMÉRICAS SAS,900413988,Privada,9,,CAMAS,Psiquiatría,67
CLINICA PSIQUIATRICA NUESTRA SEÑORA DEL SAGRADO CORAZON,860007760,Privada,1,,CAMAS,Psiquiatría,66
CLINICA MATERNO INFANTIL SAN LUIS SA,890208758,Privada,8,,CAMAS,Pediátrica,66
CLINICA SAN JOSE,890300517,Privada,2,,CAMAS,Psiquiatría,66
HOSPITAL REGIONAL DE SOGAMOSO EMPRESA SOCIAL DEL ESTADO,891855039,Pública,9,2,CAMAS,Adultos,65
CLINICA MEDICOS SA,824001041,Privada,6,,CAMAS,Adultos,65
INVERSIONES CLINICA DEL META S.A.,892000401,Privada,7,,CAMAS,Adultos,65
EMPRESA SOCIAL DEL ESTADO HOSPITAL EMIRO QUINTERO CAÑIZARES,890501438,Pública,1,2,CAMAS,Adultos,65
CLINICA LA SAGRADA FAMILIA,890000381,Privada,0,,CAMAS,Adultos,65
CLÍNICA ESPECIALIZADA LA CONCEPCIÓN S.A.S,830510991,Privada,3,,CAMAS,Adultos,65
CLINICA UNIVERSITARIA BOLIVARIANA,890902922,Privada,6,,CAMAS,Obstetricia,64
CLINICA VALLEDUPAR,892300708,Privada,1,,CAMAS,Adultos,64
SOCIEDAD MEDICA DE SANTA MARTA LTDA. CLINICA EL PRADO,891701664,Privada,1,,CAMAS,Adultos,64
CLÍNICA SANTA ANA S.A.,890500060,Privada,7,,CAMAS,Adultos,64
EMPRESA SOCIAL DEL ESTADO HOSPITAL MENTAL DE FILAN,890000992,Pública,0,2,CAMAS,Psiquiatría,64
HOSPITAL UNIVERSITARIO MAYOR-MEDERI,900210981,Privada,6,,CAMAS,Cuidado Intensivo Adulto,63
UNIDAD DE SERVICIOS DE SALUD CENTRO DE SERVICIOS ESPECIALIZADO,900971006,Pública,4,3,CAMAS,Adultos,63
EMPRESA SOCIAL DEL ESTADO CENTRO DE REHABILITACION INTEGRAL DE BOYACA,891800982,Pública,3,2,CAMAS,Institución Paciente Crónico,63
CLINICA ZAYMA LTDA,800074112,Privada,6,,CAMAS,Adultos,63
UNIDAD HOSPITALARIA NUEVO OCCIDENTE,800058016,Pública,1,2,CAMAS,Adultos,62
FUNDACION MEDICO PREVENTIVA PARA EL BIENESTAR SOCIAL S.A. CLINICA EL PRADO,800050068,Privada,6,,CAMAS,Adultos,62
HOSPITAL CENTRAL POLICIA NACIONAL,830041314,Pública,4,3,CAMAS,Pediátrica,62
CLINICA NUESTRA SEDE CARTAGENA,805023423,Privada,1,,CAMAS,Adultos,62
CLINICA LA ESTANCIA S.A,817003166,Privada,1,,CAMAS,Adultos,62
ONCOMEDICA S.A,812007194,Privada,8,,CAMAS,Adultos,62
FUNDACION CARDIOVASCULAR DE COLOMBIA - INSTITUTO DEL CORAZÓN SANTA MARTA,890212568,Privada,0,,CAMAS,Adultos,62
Hospital Departamental de Granada. Empresa Social del Estado,800037021,Pública,7,2,CAMAS,Adultos,62
CLINICA SAN PABLO SA,890211722,Privada,4,,CAMAS,Adultos,62
CENTRO DE INVESTIGACIONES ONCOLOGICAS CLINICA SAN DIEGO CIOSAD S.A.S,830099212,Privada,1,,CAMAS,Adultos,61
CLINICA MARTHA S.A.,892001588,Privada,1,,CAMAS,Adultos,61
CLINICA AVIDANTI IBAGUÉ,800185449,Privada,9,,CAMAS,Adultos,61
FUNDACION VALLE DEL LILI,890324177,Privada,5,,CAMAS,Pediátrica,61
CLINICA UNIVERSITARIA COLOMBIA,800149384,Privada,6,,CAMAS,Pediátrica,60
REMY IPS - TOBERIN,900589178,Privada,5,,CAMAS,Salud Mental,60
ESE HOSPITAL REGIONAL DE AGUACHICA JOSE DAVID PADILLA VILLAFAÑE,892300445,Pública,8,2,CAMAS,Adultos,60
EMMANUEL INSTITUTO DE REHABILITACION Y HABILITACION INFANTIL S.A.S,900259421,Privada,5,,CAMAS,Psiquiatría,60
UNIDAD CLINICA DEL SISTEMA NERVIOSO G,822001338,Privada,,,CAMAS,Psiquiatría,60
