OBJECTID,Object_ID,Código de Habilitación,Código del Prestador,Nombre de la IPS,Dirección,Número Identificación Tributaria,Número de Fax,Clase de Prestador,Clase de Persona,Naturaleza Jurídica,Número de Teléfono,Correo Electrónico,coord_x,coord_y
296,296,110010320901,1100103209,OBGYN,CARRERA 19 A NO. 82 85 CONSULTORIO 801,800146637,6215670,Instituciones - IPS,Juridica,Privada,6358057 - 6215670,obgynltda@hotmail.com,,
297,297,110010327901,1100103279,EVOLUCIONAR SERVICIOS DE SALUD SAS,CLL 95 No 11- 51 OF 201 -204,830040404,Sin Dato,Instituciones - IPS,Juridica,Privada,6160864 /3142036055,jeanmarc@evolucionar.com.co,,
301,301,110010332301,1100103323,MAGBA NEURODIGITAL S.A.S,CARRERA 16A # 82-46 CONSULTORIO 711,830078811,2960587,Instituciones - IPS,Juridica,Privada,5313807,magbaneuro@hotmail.com,,
302,302,110010333801,1100103338,FUNDACION SANTA MARIA,AK 50 # 90-50,860006805,Sin Dato,Instituciones - IPS,Juridica,Privada,Sin Dato,Sin Dato,,
303,303,110010448801,1100104488,COUNTRY SCAN LTDA,CARRERA 16 No. 82 - 57 PISO 2,800006509,6559965,Instituciones - IPS,Juridica,Privada,6217200,countryscanltda@etb.net.co,,
304,304,110010431101,1100104311,CENTRO CARDIOLOGICO DE BOGOTA LTDA,KR 16 # 82 36,800067605,6164816,Instituciones - IPS,Juridica,Privada,6104522--5314346--6164816,ccdbogota@gmail.com,,
309,309,110010447101,1100104471,INDESAN S.A SONRIA -NORMANDIA,AV BOYACA No. 51-96,830028950,Sin Dato,Instituciones - IPS,Juridica,Privada,Sin Dato,Sin Dato,,
311,311,110010354201,1100103542,CENTRO INTEGRAL DE ATENCION EN SALUD MENTAL LTDA,KR 49 N. 102 A 06,800091030,2181407,Instituciones - IPS,Juridica,Privada,2563890,ncpiclinica2007@yahoo.com,,
313,313,110010357901,1100103579,CENTRO OCULAR DE MIOPIA DR RINCON,CALLE 93 # 19 80,830102932,Sin Dato,Instituciones - IPS,Juridica,Privada,Sin Dato,Sin Dato,,
314,314,110010345001,1100103450,ZEPHIA 1A,Calle 92 # 15 62 LOCAL 106,830104405,Sin Dato,Instituciones - IPS,Juridica,Privada,Sin Dato,Sin Dato,,
315,315,110010370801,1100103708,OPTILASER S.A,AV 19 # 95 75,830020842,Sin Dato,Instituciones - IPS,Juridica,Privada,7436009 opcion 1,maria.grueso@optilaser.com.co,,
317,317,110010405201,1100104052,CONSULTORIO DE RADIOLOGIA ORAL COUNTRY,CL 85 # 12 10 Of 408,800121035,1 (57) 2782823,Instituciones - IPS,Juridica,Privada,1 (57) 2784188,radiologico_country@hotmail.com,,
319,319,110010397301,1100103973,LABOPAT SAS Y/O LABOPAT LABORATORIO CLINICO PATOLOGIA Y CITOLOGIA SAS,KR 13 A # 96 83 piso 2 y 3,800133151,Sin Dato,Instituciones - IPS,Juridica,Privada,5205520,LABORATORIO@LABOPAT.COM.CO,,
321,321,110010397305,1100103973,LABOPAT SAS COUNTRY,KR 16 # 82 74 CS 308,800133151,Sin Dato,Instituciones - IPS,Juridica,Privada,6919310,laboratorio@labopat.com.co,,
324,324,110010401401,1100104014,PMA MARLY,CALLE 50 # 7 36 PI 4,830014121,Sin Dato,Instituciones - IPS,Juridica,Privada,348 1116 - 348 1017 Ext: 114,Calle 50 No. 7-36 Piso 4 - Piso 6,,
326,326,110010476901,1100104769,RESONANCIA MAGNETICA DE COLOMBIA LTDA.,CARRERA 16 No. 82 - 57 PISO 2,800032418,6180895,Instituciones - IPS,Juridica,Privada,6181160,resomagdecol@tacyresonanciadelcountry.com,,
328,328,110010416601,1100104166,CENTRO INTEGRAL DE REHABILITACION DE COLOMBIA - CIREC,KR 54 # 65 25,860066767,Sin Dato,Instituciones - IPS,Juridica,Privada,Sin Dato,Sin Dato,,
329,329,110010415502,1100104155,FUNDACION CENTRO DE ESTIMULACION NIVELACION Y DESARROLLO-CEDESNID,CALLE 46 # 27 - 28 /42,860071892,Sin Dato,Instituciones - IPS,Juridica,Privada,Sin Dato,Sin Dato,,
331,331,110010444201,1100104442,FUNDACION CENTRO DE PSICOLOGIA CLINICA Y DE FAMILIA ANITA,KR 70 D # 48 A 78,830110098,4168924,Instituciones - IPS,Juridica,Privada,4109944,fundanita@hotmail.com,,
332,332,110010432201,1100104322,CENTRO DE DIAGNOSTICO EN CITOPATOLOGIA S.A.S,CALLE 102 A 45 46,830117039,6369762,Instituciones - IPS,Juridica,Privada,2564281,cendipat@yahoo.es,,
333,333,110010440401,1100104404,UNIDAD MÉDICA DIAGNÓSTICA ESPINOSA GÓMEZ SAS,CALLE 64 Nº 7 - 89,860072417,2126237,Instituciones - IPS,Juridica,Privada,3450900,"labespinosagomez@hotmail.com, labesgo@etb.net.co",,
