RAZON SOCIAL;SEDE;DIRECCIÓN;IPSTELEFON;CORREO;TIPO DE IPS
AAAA Academia Adscrita A Asociación De Especialistas S.A.S;Instituto Medico De Especialistas Clínica De Especialistas Centroodontologico;AV CARACAS # 30 51;2323100;clinicadeespecialistas2005@yahoo.es;Privada
Ab Group Servicios SAS;Ab Group Servicios SAS;AV 28 # 39 72;3182096275;infoabgroupsas@gmail.com;Privada
Abc Bebe Ecografias Medicas;Abc Bebe Ecografias Medicas;KR 11 # 96 43 CS 103;2575624;;Privada
Abc Sevillana Centro De Reconocimiento A Conductores SAS;Abc Sevillana Centro De Reconocimiento;TV 60 # 51 SUR 36 PI 3;7244519;abcsevillanacrc@hotmail.com;Privada
Ac Dental Aesthetic Ltda;Ac Dental Aesthetic Ltda;AV 19 # 118 11;4935343;;Privada
Accion Salud S.A. IPS;Accion Salud S.A. IPS;KR 19 A # 84 73;2569144;accionplus@hotmail.com;Privada
Acertar Soluciones S.A.S.;Acertar Soluciones Sevillana;TV 60 # 50 65 SUR;7283034;acertarsoluciones@gmail.com;Privada
Acertar Soluciones S.A.S.;Acertar Soluciones. Primero De Mayo;AC 26 SUR # 69 A 45 LC 201;7283034;acertarsoluciones@gmail.com;Privada
Acertar Soluciones SAS;Acertar Soluciones Primero De Mayo;AC 26 SUR # 69 A 45 PI 2;7283034;acertarsoluciones@gmail.com;Privada
Acertar Soluciones SAS;Acertar Soluciones Sevillana;TV 60 # 50 65 SUR;8028568;acertarsoluciones@gmail.com;Privada
Acn Enterprise Ltda.;Dental Place & Spa;CL 2 A SUR # 71 D 58;4146256;info@dentalplace.com.co;Privada
Aconir Asociación Colombiana Pro-Niño Retardado Mental;Aconir Asociación Colombiana Pro-Niño Retardado Mental;CL 153 # 106 A 88;6861552;aaconir@hotmail.com;Privada
Actividades De La Practica Medica Apm SAS;Actividades De La Practica Medica Apm SAS;CL 49 # 6 63;2857474;j3000buitrago@yahoo.com;Privada
Acudir Ltda;Acudir Ltda;CL 52 A # 9 26 CS 203;2172829;acudirltda@gmail.com;Privada
Acys Apoyo Terapeutico Integral;Acys Apoyo Terapeutico Integral;CL 51 A # 27 84;3128478;;Privada
Acys Apoyo Terapeutico Integral E.U;Acys Apoyo Terapeutico Integral E.U;CL 51 A # 27 84;3128478;amarcreceryservir@yahoo.com;Privada
Administracion Y Operacion De Servicios De Salud SAS;Medplus Optica Calle 125;AV 19 # 125 30 PI 1 CS 102;5234461;opticacalle125@medplus.com.co;Privada
Administracion Y Operacion De Servicios De Salud SAS;Medplus Optica Centro Medico Chico;KR 14 # 94 49 PI 2 CS 201 202;5924501 Ext. 211;opticachico@medplus.com.co;Privada
Administracion Y Operacion De Servicios De Salud SAS;Medplus Optica Palermo;CL 45 C # 22 02 LC 3;3230792;opticapalermo@medplus.com.co;Privada
Administradora Clínica La Colina SAS;Administradora Clínica La Colina SAS;CL 167 # 72 07;4897000;ldoria@clinicalacolina.com;Privada
Administradora Country S.A;Centro De Investigacion Clínica Del Country;CL 83 # 16 A 43 PI 1;5300470;jospina@clinicadelcountry.com;Privada
Administradora Country S.A;Centro De Oncologia Clínica Del Country;CL 83 # 16 A 10 PI 2 3 Y 4;5300470-5301270;jospina@clinicadelcountry.com-cranis@clinicadelcou;Privada
Administradora Country S.A;Centro Diagnóstico Clínica Del Country;KR 16 # 82 32;5300470;jospina@clinicadelcountry.com;Privada
Administradora Country S.A;Centro Materno Fetal Y Neonatal Clínica Del Country;KR 16 A # 82 47 PI 1 CS 2 Y PI 2 CS 1 CS 3 Y CS 5;5300470;jospina@clinicadelcountry.com;Privada
Administradora Country S.A;Clínica Del Country IPS;KR 16 # 82 57;5300470;gcalidad@clinicacountry.com;Privada
Administradora Country S.A;Departamento De Imagenes Diagnosticas Clínica Del Country 1;KR 16 # 82 95 CS 103;6449500;jospina@clinicadelcountry.com;Privada
Administradora Country S.A;Departamento De Imagenes Diagnosticas Clínica Del Country 2;KR 16 # 84 A 09 CS 321 y 322;6449500;jospina@clinicadelcountry.com;Privada
Administradora De Bienes Y Servicios - Abys SAS;Abysalud Dos IPS;CL 93 B SUR # 0 15 E;7612109;jalf5902@hotmail.com;Privada
Administradora De Instituciónes Prestadoras De Salud Austral SAS Sigla IPS Austral SAS;IPS Austral Carimagua;CL 39 B SUR # 72 J 45 LC 32,33,34;2651290;lolypatr@yahoo.com;Privada
Administradora De Instituciónes Prestadoras De Salud Austral SAS Sigla IPS Austral SAS;IPS Austral Suba;KR 103 D # 152 35 LC 8,9,10,11,12;3591643;lolypatr@yahoo.com;Privada
Administradores De Salud Ltda.;Centro Odontológico Especializado In-Nova;CL 10 # 22 04 TO B OF 405;7045782;mafecook@hotmail.com;Privada
Admiralty Holdings De Colombia SAS;Body Brite Iserra 100;TV 55 # 98A 66 LC 240 CC ISERR;6365449;iserra100@bodybrite.co;Privada
Admiralty Holdings De Colombia SAS;Body Brite Restrepo;CL 16 SUR # 16 52 LC 1;3185778066;restrepo@bodybrite.co;Privada
Adn Analisis Ltda;Adn Analisis Ltda;KR 16 # 82 95 OF 805;2364102;msvallejo@cable.net.co;Privada
Adriana Ceballos Porras Eu;Elite Dental Sucursal Galerias;DG 53 C # 23 44 LC 2;3460502;inversionescegar@hotmail.com;Privada
Advance Odontología Eu;Advance Odontología Eu;AV 19 # 118 48;6299252;satuple4@hotmail.com;Privada
Advanced Life Support S.A.S.;Advanced Life Support S.A.S.;KR 60 # 66 34;3163409589;advancedlssas@yahoo.com;Privada
Affinity Network S.A.;Clínica Naturizza;TV 44 # 51 12 SUR;7284559;mercedesvergara@affinitycolombia.com;Privada
Affinity Network S.A.;Clínica Naturizza;AV CIUDAD DE QUITO # 74 97;3457255;mercedesvergara@affinitycolombia.com;Privada
Affinity Network S.A.;Clínica Naturizza Kennedy;CL 36 SUR # 73 D 64;6231629;coordinadoracalidad@affinitycolombia.com;Privada
Affinity Network S.A.;Clínica Naturizza Vanity & Health Bogota;CL 82 #18 49;6210818;;Privada
Ag Fisioterapia Medicina Estética S.A.S.;Ag Fisioterapia Medicina Estética S.A.S.;KR 32 # 41 16 SUR PI 1;2704473;angisv@hotmail.com;Privada
Aladin S.A. Ceandes Clínica Modelia;Aladin S.A. Ceandes Clínica Restrepo;CL 18 SUR # 18 17;2093621;;Privada
Aladin S.A. Ceandes Clínica Modelia;Ceandes Clínica Americas Occidente;TV 71 BIS # 5 C 52;2906963;;Privada
Aladin S.A. Ceandes Clínica Modelia;Ceandes Clínica Cedritos Norte;AV 19 # 137 22;6332220;leanlilo@yahoo.com;Privada
Aladin S.A. Ceandes Clínica Modelia;Ceandes Clínica Modelia;AC 24 # 75 35;2950278;;Privada
Aladin S.A. Ceandes Clínica Modelia;Ceandes Clínica Restrepo;CL 19 # 18 40 SUR LC 1;2950032;modelia@ceandes.com;Privada
Alaia Salud Ltda;Alaia Salud Avenida 19;AV 19 # 118 30 OF 408 2;6202442;info@alaiasalud.com;Privada
Alaia Salud Ltda;Alaia Salud Ltda;CL 20 # 82 52 OF 402;3546287;info@alaiasalud.com;Privada
Alan Gonzalez Cirugia Plastica Y Tratamientos No Quirurgicos IPS S.A.S.;Alan Gonzalez Cirugia Plastica & Tratamientos No Quirurgicos IPS SAS;CL 109 # 15 67 PI 3;7026484;servicioalcliente2@alangonzalez.com;Privada
Alan Gonzalez Cirugia Plastica Y Tratamientos No Quirurgicos IPS S.A.S.;Alan Gonzalez Cirugia Plastica Y Tratamientos No Quirurgicos IPS S.A.S.;KR 13 # 93 68 CS 403;6224123;contacto@alangonzalez.com;Privada
Alarcon Forero Sociedad De Medicina Deportiva Ltda Af Medicina Deportiva Ltda;Af Medicina Deportiva;CL 106 A # 19 28;6372424;personalgym@gmail.com;Privada
Albergues La Primavera S.A.S.;Albergues La Primavera S.A.S.;CL 58 # 18 43;3212453049;laprimavera651@gmail.com;Privada
Aleandes Y Compañia Limitada;Aleandes Y Compañia Limitada;CL 40 # 25 45;2443630;aleandes@yahoo.es;Privada
Aleandes Y Compañia Limitada;Aleandes Y Compañia Limitada;KR 15 # 99 13 CS 506;2189950;aleandes@yahoo.es;Privada
Aleandes Y Compañía Limitada;Aleandes Y Compañía Limitada;KR 26 # 39 27;2448199;gerencia.aleandes@gmail.com;Privada
Aleandes Y Compania Limitada;Aleandes Y Compañia Limitada;KR 15 # 99 13 CS 506;2189950;aleandes@yahoo.com;Privada
Aliados Salud Ocupacional Ltda;Aliados Salud Ocupacional Ltda;CL 80 # 19 56;6230213;aliados_so@yahoo.es;Privada
Alianza Blessed S.A.S.;Blessedent Clínicas Odontológicas;CL 112 # 70 B 23;2710678;alianzablessed@gmail.com;Privada
Alianza Exámenes Empresariales Ocupacionales Y Servicios Médicos Ltda.;Laboratorio Clínico Alianza Centro Internacional;KR 7 # 27 - 42;2834930;;Privada
Alirio Gutiérrez Millán Y Cía. SAS Unidad De Atención Primaria Darsalud;Unidad De Atención Primaria Darsalud;KR 78 K # 33 A 76 SUR;2657599;darsalud@hotmail.com;Privada
Alsalud Bioclinico Ltda.;Alsalud Bioclinico Ltda.;CL 27 SUR # 20 14;3610460;;Privada
Alta Vision Ltda;Alta Vision Centro De Diagnóstico;KR 16 # 82 74 CS 317;3007352330;doviedo@altavision.com.co;Privada
Alternatural Medicina Antihomotoxica Integral SAS;Alternatural Medicina Antihomotoxica Integral SAS;KR 23 # 124 87 TO 2 CS 503;7046766;alternaturalmedicina@hotmail.com;Privada
Alvarado Rodríguez Arenas Ortodoncistas Asociados Ltda. - Clínica Odontológica Odonto Estetik;Alvarado Rodríguez Arenas Ortodoncistas Asociados Ltda. - Clínica Odontológica Odonto Estetik;KR 53 # 45 A 06 SUR;2388823;odontoestetik2010@hotmail.com;Privada
Alvarez Muñoz Ivan Mauricio;Alvarez Muñoz Ivan Mauricio;KR 27 A # 52 A 10 CS 201;2178950;ivanmauricioalvarez@gmail.com;Privada
Am Odontologos Ltda;Am Odontologos;KR 12 B # 137 95;4009405;amodontologos@yahoo.com;Privada
Am Salud SAS;Am Salud SAS;KR 10 # 96 79 OF 208;4838888;p.bastidas@com-ark.com;Privada
Amarise Segobo SAS;Oralimax Santa Barbara;KR 20 # 125 34 LC 4;6193238;viktoramado@hotmail.com;Privada
Ambulancias Andar Plus SAS;Ambulancias Andar Plus SAS;CL 77 # 84 22;8051251;subdireccionadministrativa@clinicapartenon.com;Privada
Ambulancias Medical Help S.A.S;Ambulancias Medical Help;CL 103 C # 63 26;8051796;amedicalh@gmail.com;Privada
Ambulancias Primeros Auxilios Ltda.;Ambulancias Primeros Auxilios Ltda.;KR 32 B # 2 43;2770977;ambulanciasprimerosauxilios@yahoo.com;Privada
American Alliance SAS;American Alliance SAS;CL 53 # 10 39 OF 501;7429110;american.alliance.col@gmail.com;Privada
American Assist Healthcare SAS;American Assist Healthcare SAS;CL 106 # 56 62 OF 710;3185780970;americanassisthealthcare@gmail.com;Privada
Americas Oral E U;Centro De Radiologia Oral Americas Bulevar 4;KR 58 # 128 34 PI 2;5201553;rxdigitalcra@hotmail.com;Privada
Americas Oral E U;Centro De Radiologia Oral Americas Suba 2;CL 140 C # 103 F 84 PI 2;6841571-4501371;cramericas@hotmail.com;Privada
Amor Por Colombia;Amor Por Colombia;KR 81 F # 71 A 81 SUR;3105591673;amorxcolombia@hotmail.com;Privada
Ams Ambulancias SAS Sigla Ams Ae SAS;Ams Ambulancias SAS Sigla Ams Ae SAS;KR 24 D # 13 46 SUR;3182695808;gerencia@amsambulancias.com.co;Privada
Américas Oral E U;Centro De Radiología Oral Américas Bosa 3;TV 80 A # 65 I 31 SUR PI 2;7779311;rxdigitalcra@hotmail.com;Privada
Analizar Laboratorio Clínico Automatizado S A S;Analizar Laboratorio Clínico Automatizado Ltda - Sucursal Coomeva UBA Suba;AC 145 # 85 52;6822053;;Privada
Analizar Laboratorio Clínico Automatizado S A S;Analizar Laboratorio Clínico Automatizado Ltda -Coomeva Vba Santa Barbara-;AV 7 # 119 14 LC 203;6580000;analizar@analizarlab.com;Privada
Analizar Laboratorio Clínico Automatizado S A S;Analizar Laboratorio Clínico Automatizado Ltda-Coomeva;CL 90 # 18 16 PI 2;2568881;analizar@analizarlab.com;Privada
Analizar Laboratorio Clínico Automatizado S A S;Analizar Laboratorio Clínico Automatizado Ltda-Coomeva Av 80;CL 80 # 92 27;6580000;analizar@analizarlab.com;Privada
Analizar Laboratorio Clínico Automatizado S A S;Analizar Laboratorio Clínico Automatizado S A S;CL 50 # 8 27 CS 301;2881505;analizar@analizarlab.com;Privada
Analizar Laboratorio Clínico Automatizado S A S;Analizar Laboratorio Clínico Automatizado S A S;AC 24 # 68 C 25 LC 16;5745232;analizar@analizarlab.com;Privada
Analizar Laboratorio Clínico Automatizado S A S;Analizar Laboratorio Clínico Automatizado S A S;KR 16 # 84 A 09 CS 517;6217218;analizar@analizarlab.com;Privada
Analizar Laboratorio Clínico Automatizado S A S;Analizar Laboratorio Clínico Automatizado S A S;CL 93 # 14 25 LC 4;6232566;analizar@analizarlab.com;Privada
Analizar Laboratorio Clínico Automatizado S A S;Analizar Laboratorio Clínico Automatizado S A S;CL 103 # 14 A 21;6580000;asiscientifica@analizarlab.com;Privada
Analizar Laboratorio Clínico Automatizado S A S;Analizar Laboratorio Clínico Automatizado S A S;AV 7 # 119 14 LC 104 A Y 203;2155381;analizar@analizarlab.com;Privada
Analizar Laboratorio Clínico Automatizado S A S;Analizar Laboratorio Clínico Automatizado S A S;DG 115 A # 70 D 09 LC 9;6248554;analizar@analizarlab.com;Privada
Analizar Laboratorio Clínico Automatizado S A S;Analizar Laboratorio Clínico Automatizado S A S;CL 80 # 89 A 40 LC 207 Y 208;4332933;analizar@analizarlab.com;Privada
Analizar Laboratorio Clínico Automatizado S A S;Analizar Laboratorio Clínico Automatizado S A S;CL 134 # 7 B 83 CS 502;5203026;analizar@analizarlab.com;Privada
Analizar Laboratorio Clínico Automatizado S A S;Analizar Laboratorio Clínico Automatizado S A S;KR 54 # 150 27 LC 14;3593917;analizar@analizarlab.com;Privada
Anamed Limitada Analisis Medico Y Laboratorio Clínico Limitada;Anamed Limitada Analisis Medico Y Laboratorio Clínico;KR 72 BIS # 73 93;4362961;anamedltda@etb.net.co;Privada
Anamed Limitada Analisis Medico Y Laboratorio Clínico Limitada;Anamed Limitada Analisis Medico Y Laboratorio Clínico Limitada;CL 74 # 20 19;5473170;anamedltda@etb.net.co;Privada
Anamed Limitada Analisis Medico Y Laboratorio Clínico Limitada;Anamed Limitada Analisis Medico Y Laboratorio Clínico Limitada;KR 48 # 95 67;6170007;info@anamedltda.com;Privada
Anamed Limitada Análisis Medico Y Laboratorio Clínico Limitada;Anamed Limitada Análisis Medico Y Laboratorio Clínico Limitada;CL 5 # 13 15 SUR;3330027;anamedltda@etb.net.co;Privada
Anamed Limitada Análisis Medico Y Laboratorio Clínico Limitada;Anamed Limitada Análisis Medico Y Laboratorio Clínico Limitada;CL 22 SUR # 29 62;7139828;anamedltda@etb.net.co;Privada
Anamed Limitada Análisis Medico Y Laboratorio Clínico Limitada;Anamed Limitada Análisis Medico Y Laboratorio Clínico Limitada;TV 71 D # 6 94 SUR OF 4502;4175132;info@anamedltda.com;Privada
Ancestros SAS;Ancestros SAS;KR 82 # 25 C 42;3182155559;ancestrossas@gmail.com;Privada
Andina Vital IPS  Y-O  Zoila Rosa Espitia Ramírez;Andina Vital IPS  Y-O  Zoila Rosa Espitia Ramírez;CL 22 SUR # 16 77;3662977;;Privada
Andina Vital IPS E.U.;Andina Vital IPS E.U.;CL 22 SUR # 16 77 PI 2;3662977;ips172@hotmail.com;Privada
Andreas Rothstein Y Cia S En C;Andreas Rothstein Y Cia S En C;CL 38 C SUR # 78 P 03 CS 01;6102209;sisges@lcarlab.com;Privada
Andreas Rothstein Y Cia S En C;Andreas Rothstein Y Cia S En C;KR 20 # 45 A 08 CS 301;3400504;administracion@lcarlab.com;Privada
Andreas Rothstein Y Cia S En C;Laboratorio Clínico Andreas Rothstein;KR 16 A # 80 94 CS 702;6102209;andreas@labclinandreasrothstein.com;Privada
Andreas Rothstein Y Cia S En C;Laboratorio Clínico Andreas Rothstein Toma De Muestras;KR 16 A # 80 94 CS 302;6102209;adminsitracion@lcarlab.com;Privada
Andreas Rothstein Y Cia S En C;Toma De Muestras Liga Contra El Cancer;CL 56 # 6 28;3458346;;Privada
Anestesiologos Cirugia Palermo Ltda;Anestesiologos Cirugia Palermo Ltda;KR 23 # 45 C 31 CS 502 N;2457419;anestesiologos_cirugia_palermo@hotmail.com;Privada
Angafras SAS;Banco De Adn Humano De Colombia;KR 22 # 188 A 26 CA 14;4794648;macias.beatriz@gmail.com;Privada
Angiografia Digital Ltda;Angiografia Digital;CL 134 # 7 B 83 CS 216 1;5.22602e+013;angiografia@cable.net.co;Privada
Anmirij Ltda;Dental Health;CL 82 # 16 10 PI 2;2365012;dentalhealth@cable.net.co;Privada
Anthiros Centro De Desarrollo Infantil Ltda;Anthiros Centro De Desarrollo Infantil Ltda;CL 70 A # 11 59;3178683;aanthiros@yahoo.com;Privada
Apisalud Solucion Natural Ltda;Apisalud Solucion Natural;CL 48 # 72 B 11;4160001;info@apisalud.com;Privada
Apisalud Solucion Natural Ltda;Apisalud Solucion Natural;AC 80 # 89 A 40 LC 247;5369046;apisalud1970@hotmail.com;Privada
Apoyos Con El Corazon IPS SAS;Apoyos Con El Corazon IPS SAS;KR 18 C # 121 25 LC 4;5207242;apoyosconelcorazonips@hotmail.com;Privada
Aprehender Centro Intergal De Psicologia SAS;Aprehender Centro Integral De Psicologia SAS;CL 23 # 66 46 IN 4 CS 821;2202700 Ext. 7821;adiaz@aprehender.co;Privada
Apticas GMO Colombia S.A.S;Ëpticas GMO Colombia S.A.S.;CL 19 # 4 98 LC 102;5938860;servicio.cliente@co.luxottica.com;Privada
Aptus Salud Ocupacional Ltda;Aptus Salud Ocupacional Ltda;KR 98 C # 56 F 21 SUR;7380980;aptusaludocupacional@gmail.com;Privada
Arcangeles Fundación Para La Rehabilitacion Integral;Arcangeles Fundación Para La Rehabilitacion Integral;CL 106 # 17 A 43;6297077;boriswullner@arcangeles.org;Privada
Archila Y Ricaurte Sociedad De Hecho;Archila Y Ricaurte Sociedad De Hecho;KR 7 # 119 14 CS 205 PI 2 SALA 2;2152945;;Privada
Arcoiris De Esperanza SAS;Arcoiris De Esperanza SAS;KR 72 A # 8 B 62 INT 2;3107993901;centroarcoirisdeesperanza@gmail.com;Privada
Armando Sonrisas Clínicas Odontológicas Y Esteticas S.A.S;Armando Sonrisas Clínicas Odontológicas Y Esteticas S.A.S;KR 79 D # 13 37;4117906;jorgerodriguez_229@hotmail.com;Privada
Armonia Cuidados Especiales Ltda;Armonia Cuidados Especiales Ltda;CL 63 A # 17 65;2483588;armonia.ce@etb.net.co;Privada
Armonia Cuidados Especiales Ltda;Armonia Cuidados Especiales Ltda Sede Santa Barbara;CL 120 A # 7 86;2134747;armonia.ce@etb.net.co;Privada
Armonia Cuidados Especiales SAS;Armonia Cuidados Especiales SAS;CL 120 A # 7 86;2134747;info@armoniace.com;Privada
Armonia Laser IPS SAS;Armonia Laser IPS SAS;CL 116 # 9 72 CS 208;2131403;fabian5g@hotmail.com;Privada
Arosalud Sociedad Por Acciones Simplificada Arosalud S.A.S;Arosalud Sociedad Por Acciones Simplificada Arosalud S.A.S;KR 19 A # 116 19 OF 205;6011929;maferar24@hotmail.com;Privada
Art Clinic E.U.;Art Clinic E.U.;TV 60 # 115 58 TO A CS 306;6247171;nayan73@yahoo.com;Privada
Arte Oral;Arte Oral;TV 33 C # 118 31;6207940;;Privada
Arte Oral Servicios Odontologicos Especializados S.A.S;Arte Oral;KR 47 A # 118 - 27;6207940;info.cita@arteoral.com;Privada
Arte Salud Sociedad Anonima Sa;Arte Salud Sociedad Anonima Sa;AK 11 # 80 31 AP 1001;7179376;artesaludips@hotmail.com;Privada
Arte Y Estetica Oral Precooperativa De Trabajo Asociado Con La Sigla Arte Y Estetica Oral;Arte Y Estetica Oral Precooperativa De Trabajo Asociado Con La Sigla Arte Y Estetica Oral;CL 187 # 15 A 69;6791067;omggo@yahoo.com.mx;Privada
Artesanar Medicina Alternativa Ltda;Artesanar Medicina Alternativa Ltda;KR 34 # 94 A 80;52150688;deliecer@yahoo.com;Privada
Arthro-Eslo SAS;Arthro-Eslo SAS;AC 134 # 7 B 83 OF 122 CS 2;5200010;arthroeslo@gmail.com;Privada
Artro Centro IPS Especialidades Articulares Y Rehabilitacion E.U.;Artro Centro IPS Especialidades Articulares Y Rehabilitacion;KR 27 B # 73 59;4740344;albanpaulo@hotmail.com;Privada
Artunathie SAS;Clínica Odontológica Rv;AC 68 # 57 82 PI 2;2505847-6302466;clinicarv@gmail.com;Privada
Asemedis S.A.S;Asemedis S.A.S.;KR 90 # 154 A 57;6858500;asemedis@hotmail.com;Privada
Asesorias Ingenieria De Calidad Emac Ltda;Asesorias Ingenieria De Calidad Emac Ltda;KR 31 # 91 31;6103014;emacltda@yahoo.com;Privada
Asfisios Ltda;Asfisios Ltda;CL 95 # 29 16 PI 1;2566771;;Privada
Asidea Limitada Con Sigla Asidea Ltda;Asidea Limitada Con Sigla Asidea Ltda;KR 54 # 44B 26;2210512;asideaips@gmail.com;Privada
Asisderma Ltda;Asisderma Clínica De La Piel La Castellana;CL 100 # 47 A 11 PI 2;6044276;dermatologysedenorte@hotmail.com;Privada
Asisfarma S.A.;Asisfarma Centro Empresarial Elite 2;KR 13 # 48 26 CS 204;2450040;asistencia@asisfarma.com.co;Privada
Asisfarma S.A.;Asisfarma S.A. Sede IPS Castellana;KR 47 # 93 58;2182002;asisfarma@gmail.com;Privada
Asistencia Cientifica De Alta Complejidad SAS;Asistencia Cientifica De Alta Complejidad SAS;KR 8 # 38 33 CS 903;2870362;acacbogota@hotmail.com;Privada
Asistencia Cientifica De Alta Complejidad SAS;Asistencia Cientifica De Alta Complejidad SAS;CL 45 B # 24 - 25;3384473;acacbogota@hotmail.com;Privada
Asistencia Domiciliaria Y Ambulatoria IPS SAS Sigla Ada IPS;Asistencia Domiciliaria Y Ambulatoria IPS SAS Sigla Ada IPS;KR 85 H # 25 C 20 PI 2;4778877;adaipssas@gmail.com;Privada
Asistencia Medica En Salud Ocupacional Seguridad Industrial Asistir Ltda;Asistencia Medica En Salud Ocupacional Seguridad Industrial Asistir Ltda;AV 15 # 119 73 OF 401;2150402;asistirltda@hotmail.com;Privada
Asistencia Medica Integral Ltda Institutcion Prestadora De Servicios De Salud IPS;Asistencia Medica Integral Ltda IPS Oami;KR 7 B # 146 90;6332009;amintegral@hotmail.com;Privada
Asistencia Medica Odontológica Duran Guzman Y Cia Ltda - IPS Amo;Asistencia Medica Odontológica Duran Guzman;KR 9 # 60 09 PI 2;2492653;asismedica00@hotmail.com;Privada
Asistir Salud Ltda;Asistir Salud Ltda  Fontibon;KR 99 # 20 C 61;4155138;asistir14@epm.net.co;Privada
Asistir Salud Ltda;Asistir Salud Ltda Engativa;CL 64 G # 90 A 40;7802366;asistir14@une.com.co;Privada
Asistirte SAS;Asistirte SAS;CL 45 B # 22 20;7029752;asistirte.sas@gmail.com;Privada
Asmedan Ltda Asociación De Medicos Y Anestesiologos Lmitada;Medidolor;CL 98 # 9 A 46 OF 302;6369722;hertozu@yahoo.com;Privada
"Asociación Centro De Atención Para Niños Con Trastornos Sensoriomotores ""Aconiño""";Asociación Centro De Atención Para Niños Con Transtornos Sensoriomotores Aconiño;CL 6 A # 71 A 10;2900521;coordatencionintegral@aconino.com;Privada
"Asociación Centro De Atención Para Niños Con Trastornos Sensoriomotores ""Aconiño""";"Asociación Centro De Atención Para Niños Con Trastornos Sensoriomotores ""Aconiño""";KR 45 A # 104 B 06;2567115;administracion@aconino.com;Privada
Asociación Colombiana De Diabetes;Asociación Colombiana De Diabetes;DG 39 A BIS # 14 78;7440888;adiabete@asodiabetes.org;Privada
"Asociación Colombiana De Padres Con Hijos Especiales ""Acphes""";"Asociación Colombiana De Padres Con Hijos Especiales ""Acphes""";CL 186 # 7 A 57;6788009;acphes@colmsat.net.co;Privada
Asociación Colombiana Pro Niño Con Paralisis Cerebral -Propace;Asociación Colombiana Pro Niño Con Paralisis Cerebral -Propace;KR 54 # 65 - 85 PI 1 CS 101 A;2253699;gerenciapropace@yahoo.com;Privada
Asociación Comunidad Terapéutica De Colombia;Asociación Comunidad Terapéutica De Colombia;CL 4 D # 55 33;3107661410;secretariadirec@cotecol.org;Privada
Asociación Cristiana Talita Cumi;Asociación Cristiana Talita Cumi;CL 48 # 72 B 29-45-47;4828691;talitacumi2009@gmail.com;Privada
