,nom_sede_ips,nit_ips,naturaleza,nivel_atencion,grupo_capacidad,descripcion_capacidad,capacidad
70,HNAS. HOSPITALARIAS DEL SAGDO. CORAZON DE JESUS HOSPITAL MENTAL NUESTRA SRA. DEL PERPETUO SOCORRO,860007760,Privada,,CAMAS,Cuidado Agudo Mental,139.0
76,CLINICA LA INMACULADA,860007760,Privada,,CAMAS,Psiquiatría,135.0
77,REMY IPS- SAN LUCAS,900589178,Privada,,CAMAS,Psiquiatría,135.0
79,HOSPITAL CARDIOVASCULAR DEL NIÑO DE CUNDINAMARCA,800210375,Privada,,CAMAS,Adultos,134.0
85,INSTITUTO NACIONAL DE CANCEROLOGIA - EMPRESA SOCIAL DEL ESTADO,899999092,Pública,3.0,CAMAS,Adultos,128.0
87,UNIDAD DE SERVICIOS DE SALUD ENGATIVÁ CALLE 80,900971006,Pública,3.0,CAMAS,Adultos,125.0
88,CLINICA PALERMO,860006745,Privada,,CAMAS,Adultos,124.0
89,UNIDAD DE SERVICIOS DE SALUD SIMÓN BOLÍVAR,900971006,Pública,3.0,CAMAS,Adultos,124.0
94,CLINICA LOS NOGALES SAS,900291018,Privada,,CAMAS,Adultos,121.0
102,HNAS. HOSPITALARIAS DEL SAGDO. CORAZON DE JESUS HOSPITAL MENTAL NUESTRA SRA. DEL PERPETUO SOCORRO,860007760,Privada,,CAMAS,Psiquiatría,118.0
105,Clinica Esimed Cali Norte,800215908,Privada,,CAMAS,Adultos,116.0
106,CLINICA ESIMED DE LA 80,800215908,Privada,,CAMAS,Adultos,115.0
107,CLINICA DEL OCCIDENTE S.A.,860090566,Privada,,CAMAS,Adultos,115.0
109,CLINICA REINA SOFIA,800149384,Privada,,CAMAS,Adultos,114.0
110,CENTRO POLICLINICO DEL OLAYA,800149453,Privada,,CAMAS,Adultos,113.0
111,CLINICA DEL COUNTRY IPS,830005028,Privada,,CAMAS,Adultos,113.0
114,CLINICA FUNDADORES,860066191,Privada,,CAMAS,Adultos,112.0
121,UNIDAD DE SERVICIOS DE SALUD MEISSEN,900958564,Pública,3.0,CAMAS,Adultos,108.0
122,NUEVA CLINICA SAN SEBASTIAN GIRARDOT,860066191,Privada,,CAMAS,Adultos,108.0
125,CLINICA SANTO TOMÁS S.A,860001475,Privada,,CAMAS,Psiquiatría,106.0
128,UNIDAD DE SERVICIOS DE SALUD SAN BLAS,900959051,Pública,3.0,CAMAS,Adultos,103.0
130,UNIDAD DE SERVICIOS DE SALUD FRAY BARTOLOMÉ DE LAS CASAS,900971006,Pública,3.0,CAMAS,Psiquiatría,102.0
136,CLINICA ESIMED JUAN LUIS LONDOÑO,800215908,Privada,,CAMAS,Adultos,95.0
143,CLINICA MEDICAL S.A.S.,830507718,Privada,,CAMAS,Adultos,91.0
144,Clínica ESIMED Neiva,800215908,Privada,,CAMAS,Adultos,90.0
147,INSTITUTO DE ORTOPEDIA INFANTIL ROOSEVELT,860013874,Privada,,CAMAS,Pediátrica,89.0
152,CLINICA DE MARLY,860002541,Privada,,CAMAS,Adultos,87.0
155,HOSPITAL INFANTIL UNIVERSITARIO DE SAN JOSE,900098476,Privada,,CAMAS,Adultos,86.0
165,CLINICA ESIMED PEREIRA,800215908,Privada,,CAMAS,Adultos,83.0
167,CLINICA ESIMED JORGE PIÑEROS CORPAS,800215908,Privada,,CAMAS,Adultos,82.0
173,REMY IPS SAS SUCURSAL MEDELLÍN,900589178,Privada,,CAMAS,Psiquiatría,80.0
175,CLINICA NUEVA,860010783,Privada,,CAMAS,Adultos,80.0
176,CLINICA DEL COUNTRY IPS,830005028,Privada,,CAMAS,Pediátrica,80.0
178,REMY IPS SASAIMA,900589178,Privada,,CAMAS,Salud Mental,80.0
181,UNIDAD DE SERVICIOS DE SALUD EL TUNAL,900958564,Pública,3.0,CAMAS,Adultos,79.0
182,CLINICA ESIMED IBAGUE,800215908,Privada,,CAMAS,Adultos,79.0
188,SOCIEDAD DE ENFERMERAS PROFESIONALES SAS - SEP SAS,860400547,Privada,,CAMAS,Adultos,75.0
189,REMY IPS SAS,900589178,Privada,,CAMAS,Psiquiatría,75.0
190,ADMINISTRADORA CLINICA LA COLINA SAS,900582598,Privada,,CAMAS,Adultos,75.0
196,UNIDAD DE SERVICIOS DE SALUD DESPERTAR,900959051,Pública,3.0,CAMAS,Institución Paciente Crónico,74.0
209,UNIDAD DE SERVICIOS DE SALUD VICTORIA,900959051,Pública,3.0,CAMAS,Adultos,71.0
215,CLINICA UNIVERSITARIA EL BOSQUE,830138802,Privada,,CAMAS,Adultos,70.0
216,HOSPITAL INFANTIL UNIVERSITARIO DE SAN JOSE,900098476,Privada,,CAMAS,Pediátrica,70.0
227,NATIONAL CLINICS CENTENARIO SAS,900702981,Privada,,CAMAS,Adultos,67.0
228,IPS DE LAS AMÉRICAS SAS,900413988,Privada,,CAMAS,Psiquiatría,67.0
229,CLINICA PSIQUIATRICA NUESTRA SEÑORA DEL SAGRADO CORAZON,860007760,Privada,,CAMAS,Psiquiatría,66.0
243,HOSPITAL UNIVERSITARIO MAYOR-MEDERI,900210981,Privada,,CAMAS,Cuidado Intensivo Adulto,63.0
244,UNIDAD DE SERVICIOS DE SALUD CENTRO DE SERVICIOS ESPECIALIZADO,900971006,Pública,3.0,CAMAS,Adultos,63.0
249,HOSPITAL CENTRAL POLICIA NACIONAL,830041314,Pública,3.0,CAMAS,Pediátrica,62.0
256,CENTRO DE INVESTIGACIONES ONCOLOGICAS CLINICA SAN DIEGO CIOSAD S.A.S,830099212,Privada,,CAMAS,Adultos,61.0
260,CLINICA UNIVERSITARIA COLOMBIA,800149384,Privada,,CAMAS,Pediátrica,60.0
261,REMY IPS - TOBERIN,900589178,Privada,,CAMAS,Salud Mental,60.0
263,EMMANUEL INSTITUTO DE REHABILITACION Y HABILITACION INFANTIL S.A.S,900259421,Privada,,CAMAS,Psiquiatría,60.0
268,CLINICA ESIMED SANTA BIBIANA,800215908,Privada,,CAMAS,Adultos,59.0
269,CLINICA DE NUESTRA SEÑORA DE LA PAZ,860015905,Privada,,CAMAS,Cuidado Intermedio Mental,59.0
270,FUNDACION CARDIO INFANTIL INSTITUTO DE CARDIOLOGIA,860035992,Privada,,CAMAS,Pediátrica,59.0
274,CLINICA ESIMED MATERNO INFANTIL,800215908,Privada,,CAMAS,Obstetricia,58.0
278,CLINICA COLSANITAS S.A SEBASTIAN DEL BELALCAZAR,800149384,Privada,,CAMAS,Adultos,58.0
282,CLINICA ESIMED SANTA MARTA,800215908,Privada,,CAMAS,Adultos,57.0
285,FUNDACION ABOOD SHAIO,860006656,Privada,,CAMAS,Cuidado Intensivo Adulto,55.0
287,HOSPITAL CARDIOVASCULAR DEL NIÑO DE CUNDINAMARCA,800210375,Privada,,CAMAS,Cuidado Intermedio Adulto,55.0
290,CLINICA VASCULAR NAVARRA S.A. / CLINICA NAVARRA,800247537,Privada,,CAMAS,Adultos,54.0
297,INSTITUTO COLOMBIANO DEL SISTEMA NERVIOSO - CLINICA MONTSERRAT,860007400,Privada,,CAMAS,Psiquiatría,53.0
298,Unidad de Servicios de Salud Occidente de Kennedy,900959048,Pública,3.0,CAMAS,Obstetricia,53.0
307,FUNDACION HOSPITAL SAN CARLOS,860007373,Privada,,CAMAS,Cuidado Intermedio Adulto,52.0
308,HOSPITAL UNIVERSITARIO MAYOR-MEDERI,900210981,Privada,,CAMAS,Obstetricia,52.0
309,CLINICA SAN FRANCISCO DE ASIS S.A.S,900613550,Privada,,CAMAS,Adultos,52.0
314,SALUS GLOBAL PARTNERS SAI,900268120,Privada,,CAMAS,Adultos,52.0
317,"Congregación de Hermanas Franciscanas Misioneras de Maria Auxiliadora, Provincia María Auxiliadora",860028947,Privada,,CAMAS,Adultos,51.0
326,FUNDACION CARDIO INFANTIL INSTITUTO DE CARDIOLOGIA,860035992,Privada,,CAMAS,Cuidado Intensivo Adulto,50.0
327,CLINICA LAING,830053316,Privada,,CAMAS,Psiquiatría,50.0
328,UNIDAD DE SERVICIOS DE SALUD SAN BLAS,900959051,Pública,3.0,CAMAS,Pediátrica,50.0
329,UNIDAD DE SERVICIOS DE SALUD CRONICOS,900959051,Pública,3.0,CAMAS,Institución Paciente Crónico,50.0
337,REMY IPS - CALI LA LUISA,900589178,Privada,,CAMAS,Salud Mental,50.0
339,HOSPITAL UNIVERSITARIO BARRIOS UNIDOS-MEDERI,900210981,Privada,,CAMAS,Adultos,49.0
341,ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA UNIDAD FUNCIONAL ZIPAQUIRA,899999032,Pública,2.0,CAMAS,Adultos,49.0
350,CLINICA COLSUBSIDIO CALLE 100,860007336,Privada,,CAMAS,Adultos,48.0
351,CLINICA JUAN N CORPAS LTDA,830113849,Privada,,CAMAS,Adultos,48.0
352,UNIDAD DE SERVICIOS DE SALUD AMBULATORIA TUNJUELITO,900958564,Pública,3.0,CAMAS,Adultos,48.0
353,Unidad de Servicios de Salud Fontibón,900959048,Pública,3.0,CAMAS,Adultos,48.0
359,IPS AMERICAS SAS,900413988,Privada,,CAMAS,Psiquiatría,47.0
364,CLINICA ESIMED BUCARAMANGA,800215908,Privada,,CAMAS,Adultos,47.0
367,UNIDAD DE SERVICIOS DE SALUD SANTA CLARA,900959051,Pública,3.0,CAMAS,Psiquiatría,46.0
373,HOSPITAL UNIVERSITARIO MAYOR-MEDERI,900210981,Privada,,CAMAS,Cuidado Intermedio Adulto,45.0
385,CLINICA DE NUESTRA SEÑORA DE LA PAZ,860015905,Privada,,CAMAS,Farmacodependencia,44.0
386,HOSPITAL UNIVERSITARIO SAN IGNACIO,860015536,Privada,,CAMAS,Pediátrica,44.0
387,UNIDAD DE SERVICIOS DE SALUD MEISSEN,900958564,Pública,3.0,CAMAS,Pediátrica,44.0
388,HOSPITAL CARDIOVASCULAR DEL NIÑO DE CUNDINAMARCA,800210375,Privada,,CAMAS,Cuidado Intensivo Adulto,44.0
392,CLINICA ESIMED LA SALLE,800215908,Privada,,CAMAS,Adultos,44.0
402,CLINICA ESIMED SANTA ROSA DE LIMA,800215908,Privada,,CAMAS,Adultos,42.0
403,CLINICA JUAN N CORPAS LTDA,830113849,Privada,,CAMAS,Pediátrica,42.0
404,HOSPITAL MILITAR CENTRAL,830040256,Pública,3.0,CAMAS,Pediátrica,42.0
406,IPS ESIMED TUNJA,800215908,Privada,,CAMAS,Adultos,42.0
419,CLINICA GENERAL DE LA 100 SAS Y PODRA ANUNCIARSE CON LAS SIGLAS CLINI100 SAS,900328772,Privada,,CAMAS,Adultos,41.0
420,UNIDAD DE SERVICIOS DE SALUD JORGE ELIECER GAITAN,900959051,Pública,3.0,CAMAS,Pediátrica,41.0
433,FUNDACION SANTA FE DE BOGOTA,860037950,Privada,,CAMAS,Cuidado Intensivo Adulto,40.0
434,IPS HOSPITAL ORTOPEDICO SAS,900412444,Privada,,CAMAS,Adultos,40.0
435,ADMINISTRADORA CLINICA LA COLINA SAS,900582598,Privada,,CAMAS,Pediátrica,40.0
436,UNIDAD DE SERVICIOS DE SALUD VICTORIA,900959051,Pública,3.0,CAMAS,Pediátrica,40.0
437,UNIDAD DE SERVICIOS DE SALUD VICTORIA,900959051,Pública,3.0,CAMAS,Psiquiatría,40.0
438,UNIDAD DE SERVICIOS DE SALUD SIMÓN BOLÍVAR,900971006,Pública,3.0,CAMAS,Unidad de Quemados Adulto,40.0
439,UNIDAD DE SERVICIOS DE SALUD CENTRO DE SERVICIOS ESPECIALIZADO,900971006,Pública,3.0,CAMAS,Pediátrica,40.0
440,UNIDAD DE SERVICIOS DE SALUD EL TUNAL,900958564,Pública,3.0,CAMAS,Pediátrica,40.0
455,HNAS. HOSPITALARIAS DEL SAGDO. CORAZON DE JESUS HOSPITAL MENTAL NUESTRA SRA. DEL PERPETUO SOCORRO,860007760,Privada,,CAMAS,Farmacodependencia,40.0
466,UNIDAD DE SERVICIOS DE SALUD SIMÓN BOLÍVAR,900971006,Pública,3.0,CAMAS,Pediátrica,39.0
467,Unidad de Servicios de Salud Boston,900959048,Pública,3.0,CAMAS,Adultos,39.0
479,CLINICA RETORNAR,800160827,Privada,,CAMAS,Psiquiatría,38.0
480,LINDE COLOMBIA AGENCIA REMEO CENTER BOGOTA,860005114,Privada,,CAMAS,Institución Paciente Crónico,38.0
481,CLINICA CAMPO ABIERTO,900188194,Privada,,CAMAS,Cuidado Agudo Mental,38.0
489,UNIDAD DE SERVICIOS DE SALUD SAN BLAS,900959051,Pública,3.0,CAMAS,Psiquiatría,37.0
492,CLINCA ESIMED MANIZALES,800215908,Privada,,CAMAS,Adultos,37.0
501,FUNDACION HOSPITAL SAN CARLOS,860007373,Privada,,CAMAS,Cuidado Intensivo Adulto,36.0
502,Unidad de Servicios de Salud Patio Bonito Tintal,900959048,Pública,3.0,CAMAS,Pediátrica,36.0
505,LINDE COLOMBIA S.A. - AGENCIA CARTAGENA,860005114,Privada,,CAMAS,Institución Paciente Crónico,36.0
518,UNIDAD DE SERVICIOS DE SALUD MATERNO INFANTIL,900959051,Pública,3.0,CAMAS,Obstetricia,35.0
519,UNIDAD DE SERVICIOS DE SALUD MATERNO INFANTIL,900959051,Pública,3.0,CAMAS,Cuidado básico neonatal,35.0
523,NUEVA CLINICA SAN SEBASTIAN GIRARDOT,860066191,Privada,,CAMAS,Cuidado Intensivo Adulto,35.0
532,REMY IPS CALI,900589178,Privada,,CAMAS,Psiquiatría,35.0
534,CLINICA ESIMED CENTRO,800215908,Privada,,CAMAS,Adultos,34.0
535,HEALTH & LIFE IPS SAS SEDE JJ VARGAS,900900122,Privada,,CAMAS,Institución Paciente Crónico,34.0
536,Unidad de Servicios de Salud Mental Floralia,900959048,Pública,3.0,CAMAS,Psiquiatría,34.0
544,CLINICA ESIMED JULIO ENRIQUE,800215908,Privada,,CAMAS,Adultos,33.0
547,Centro de Atención en Salud Cafam Clínica,860013570,Privada,,CAMAS,Pediátrica,33.0
548,UNIDAD DE SERVICIOS DE SALUD MATERNO INFANTIL,900959051,Pública,3.0,CAMAS,Cuidado Intermedio Neonatal,33.0
564,CLINICA JUAN N CORPAS LTDA,830113849,Privada,,CAMAS,Obstetricia,32.0
565,CLINICA FEDERMAN,860066191,Privada,,CAMAS,Pediátrica,32.0
566,CLINICA CAMPO ABIERTO,900188194,Privada,,CAMAS,Psiquiatría,32.0
567,UNIDAD DE SERVICIOS DE SALUD SANTA CLARA,900959051,Pública,3.0,CAMAS,Cuidado Intensivo Adulto,32.0
568,UNIDAD DE SERVICIOS DE SALUD SIMÓN BOLÍVAR,900971006,Pública,3.0,CAMAS,Psiquiatría,32.0
578,LINDE COLOMBIA S.A.,860005114,Privada,,CAMAS,Institución Paciente Crónico,32.0
579,REMY IPS CALI II,900589178,Privada,,CAMAS,Psiquiatría,32.0
582,FUNDACION HOSPITAL DE LA MISERICORDIA,899999123,Privada,,CAMAS,Cuidado Intermedio Pediátrico,31.0
583,Instituto Nacional de Demencias Emanuel SAS,900359092,Privada,,CAMAS,Psiquiatría,31.0
584,CLINICA MEDICAL S.A.S.,830507718,Privada,,CAMAS,Cuidado Intermedio Adulto,31.0
585,UNIDAD DE SERVICIOS DE SALUD CHAPINERO,900971006,Pública,3.0,CAMAS,Adultos,31.0
591,CLINICA ESIMED CAÑAVERAL,800215908,Privada,,CAMAS,Adultos,31.0
604,PROSEGUIR SEDE 3,830090073,Privada,,CAMAS,Institución Paciente Crónico,30.0
605,HOSPITAL UNIVERSITARIO CLINICA SAN RAFAEL,860015888,Privada,,CAMAS,Cuidado Intensivo Adulto,30.0
606,CLINICA PALERMO,860006745,Privada,,CAMAS,Obstetricia,30.0
607,CLINICA DEL OCCIDENTE S.A.,860090566,Privada,,CAMAS,Cuidado Intensivo Adulto,30.0
608,FUNDACION CRESER,830053316,Privada,,CAMAS,Farmacodependencia,30.0
609,NATIONAL CLINICS CENTENARIO SAS,900702981,Privada,,CAMAS,Cuidado Intensivo Adulto,30.0
627,HEALTH & LIFE IPS SUBACHOQUE,900900122,Privada,,CAMAS,Institución Paciente Crónico,30.0
639,ESIMED IPS UNINORTE,800215908,Privada,,CAMAS,Adultos,30.0
662,REMEO CENTER MEDELLIN,860005114,Privada,,CAMAS,Institución Paciente Crónico,29.0
666,Centro de Atención en Salud Cafam Clínica,860013570,Privada,,CAMAS,Obstetricia,29.0
667,HOSPITAL UNIVERSITARIO CLINICA SAN RAFAEL,860015888,Privada,,CAMAS,Pediátrica,29.0
668,Soluciones Integrales en Salud AURUM MEDICAL SAS,900618967,Privada,,CAMAS,Institución Paciente Crónico,29.0
669,UNIDAD DE SERVICIOS DE SALUD SIMÓN BOLÍVAR,900971006,Pública,3.0,CAMAS,Obstetricia,29.0
675,ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA UNIDAD FUNCIONAL ZIPAQUIRA,899999032,Pública,2.0,CAMAS,Pediátrica,29.0
691,INSTITUTO COLOMBIANO DEL SISTEMA NERVIOSO - CLINICA MONTSERRAT,860007400,Privada,,CAMAS,Salud Mental,28.0
692,CLINICA MATERNO INFANTIL COLSUBSIDIO,860007336,Privada,,CAMAS,Obstetricia,28.0
693,Unidad de Servicios de Salud Occidente de Kennedy,900959048,Pública,3.0,CAMAS,Cuidado Intermedio Neonatal,28.0
719,HOSPITAL MILITAR CENTRAL,830040256,Pública,3.0,CAMAS,Cuidado Intensivo Adulto,27.0
720,MEDIPORT,830073010,Privada,,SALAS,Quirófano,3.0
721,UNIDAD DE SERVICIOS DE SALUD CENTRO DE SERVICIOS ESPECIALIZADO,900971006,Pública,3.0,CAMAS,Obstetricia,27.0
722,UNIDAD DE SERVICIOS DE SALUD EL TUNAL,900958564,Pública,3.0,CAMAS,Obstetricia,27.0
723,UNIDAD DE SERVICIOS DE SALUD EL TUNAL,900958564,Pública,3.0,CAMAS,Cuidado Intensivo Adulto,27.0
731,HOSPITAL CARDIOVASCULAR DEL NIÑO DE CUNDINAMARCA,800210375,Privada,,CAMAS,Pediátrica,27.0
742,Clinica Esimed Cali Norte,800215908,Privada,,CAMAS,Cuidado Intensivo Adulto,27.0
746,FUNDACION HOSPITAL DE LA MISERICORDIA,899999123,Privada,,CAMAS,Cuidado Intensivo Pediátrico,26.0
747,INSTITUTO NACIONAL DE CANCEROLOGIA - EMPRESA SOCIAL DEL ESTADO,899999092,Pública,3.0,CAMAS,Pediátrica,26.0
748,CLINICA DE LA MUJER,800117564,Privada,,CAMAS,Obstetricia,26.0
749,TORRE 6 - CPO,800149453,Privada,,CAMAS,Adultos,26.0
750,HOSPITAL INFANTIL UNIVERSITARIO DE SAN JOSE,900098476,Privada,,CAMAS,Obstetricia,26.0
751,ESENCIAL IPS,900348937,Privada,,CAMAS,Adultos,26.0
752,ESENCIAL IPS,900348937,Privada,,CAMAS,Institución Paciente Crónico,26.0
764,CLINICA ESIMED ARMENIA,800215908,Privada,,CAMAS,Adultos,26.0
769,Clinica Esimed Cali Norte,800215908,Privada,,CAMAS,Pediátrica,26.0
778,CLINICA ESIMED MATERNO INFANTIL,800215908,Privada,,CAMAS,Pediátrica,25.0
779,INSTITUTO COLOMBIANO DEL SISTEMA NERVIOSO - CLINICA MONTSERRAT,860007400,Privada,,CAMAS,Cuidado Intermedio Mental,25.0
780,Sociedad de Cirugía de Bogotá - Hospital de San José,899999017,Privada,,CAMAS,Obstetricia,25.0
781,CLINICA PEDIATRICA,800149384,Privada,,CAMAS,Pediátrica,25.0
782,CLINICA DEL COUNTRY IPS,830005028,Privada,,CAMAS,Obstetricia,25.0
783,CLINICA SANTA MARGARITA S.A.S.,900576488,Privada,,CAMAS,Adultos,25.0
784,HEALTH & LIFE IPS SAS SEDE KENNEDY,900900122,Privada,,CAMAS,Institución Paciente Crónico,25.0
785,UNIDAD DE SERVICIOS DE SALUD MEISSEN,900958564,Pública,3.0,CAMAS,Obstetricia,25.0
786,Unidad de Servicios de Salud Bosa,900959048,Pública,3.0,CAMAS,Pediátrica,25.0
822,CLINICA ESIMED VERAGUAS,800215908,Privada,,CAMAS,Obstetricia,24.0
823,FUNDACION SANTA FE DE BOGOTA,860037950,Privada,,CAMAS,Pediátrica,24.0
824,FUNDACION CARDIO INFANTIL INSTITUTO DE CARDIOLOGIA,860035992,Privada,,CAMAS,Cuidado Intensivo Pediátrico,24.0
825,CLINICA COLSANITAS 103,800149384,Privada,,CAMAS,Pediátrica,24.0
826,CLINICA COLSANITAS 103,800149384,Privada,,CAMAS,Adultos,24.0
827,HOSPITAL UNIVERSITARIO SAN IGNACIO,860015536,Privada,,CAMAS,Obstetricia,24.0
828,CENTRO HOSPITALARIO SAN NICOLAS,900536325,Privada,,CAMAS,Adultos,24.0
829,UNIDAD DE SERVICIOS DE SALUD VICTORIA,900959051,Pública,3.0,CAMAS,Obstetricia,24.0
830,Unidad de Servicios de Salud Occidente de Kennedy,900959048,Pública,3.0,CAMAS,Cuidado Intensivo Adulto,24.0
840,EMMANUEL INSTITUTO DE REHABILITACION Y HABILITACION INFANTIL S.A.S,900259421,Privada,,CAMAS,Farmacodependencia,24.0
847,Clinica Esimed Llanos,800215908,Privada,,CAMAS,Adultos,24.0
853,Clinica Esimed Cali Norte,800215908,Privada,,CAMAS,Obstetricia,24.0
854,Clinica Esimed Cali Sur,800215908,Privada,,CAMAS,Adultos,24.0
860,CLINICA ESIMED DE LA 80,800215908,Privada,,CAMAS,Pediátrica,23.0
865,SOCIEDAD DE ENFERMERAS PROFESIONALES SAS,860400547,Privada,,CAMAS,Institución Paciente Crónico,23.0
866,HEALTH & LIFE IPS SAS SIGLA H&L UCC SAS,900900122,Privada,,CAMAS,Institución Paciente Crónico,23.0
867,UNIDAD DE SERVICIOS DE SALUD VICTORIA,900959051,Pública,3.0,CAMAS,Cuidado básico neonatal,23.0
889,CLINICA COLSUBSIDIO CIUDAD ROMA,860007336,Privada,,CAMAS,Adultos,22.0
890,CLINICA COLSUBSIDIO CIUDAD ROMA,860007336,Privada,,CAMAS,Obstetricia,22.0
891,CLINICA MATERNO INFANTIL EUSALUD,800227072,Privada,,CAMAS,Obstetricia,22.0
892,CENTRO DE INVESTIGACIONES ONCOLOGICAS CLINICA SAN DIEGO CIOSAD S.A.S,830099212,Privada,,CAMAS,Cuidado Intermedio Adulto,22.0
893,UNIDAD DE CUIDADO INTERMEDIO SANTA LUCIA SAS,900211561,Privada,,CAMAS,Institución Paciente Crónico,22.0
894,MIOCARDIO S.A.S CASTELLANA,900328323,Privada,,CAMAS,Adultos,22.0
895,CLINICA LOS NOGALES SAS,900291018,Privada,,CAMAS,Cuidado Intensivo Adulto,22.0
896,UNIDAD DE SERVICIOS DE SALUD ENGATIVÁ CALLE 80,900971006,Pública,3.0,CAMAS,Obstetricia,22.0
935,CLINICA MATERNO INFANTIL COLSUBSIDIO,860007336,Privada,,CAMAS,Cuidado Intermedio Neonatal,21.0
936,CENTRO POLICLINICO DEL OLAYA,800149453,Privada,,CAMAS,Obstetricia,21.0
937,CLINICA FUNDADORES,860066191,Privada,,CAMAS,Cuidado Intensivo Adulto,21.0
938,INSTITUTO COLOMBIANO DE GERONTOLOGIA Y GERIATRIA LTDA SIGLA ICGG LTDA,900266533,Privada,,CAMAS,Institución Paciente Crónico,21.0
939,UNIDAD DE SERVICIOS DE SALUD JORGE ELIECER GAITAN,900959051,Pública,3.0,CAMAS,Adultos,21.0
940,Unidad de Servicios de Salud Bosa,900959048,Pública,3.0,CAMAS,Obstetricia,21.0
972,CENTRO DE CUIDADO INTERMEDIO,830090073,Privada,,CAMAS,Institución Paciente Crónico,20.0
973,CLINICA ESIMED JORGE PIÑEROS CORPAS,800215908,Privada,,CAMAS,Pediátrica,20.0
974,ATARDECER DE LOS AÑOS LTDA,800118223,Privada,,CAMAS,Adultos,20.0
975,CLINICA UNIVERSITARIA COLOMBIA,800149384,Privada,,CAMAS,Cuidado Intensivo Adulto,20.0
976,HOSPITAL INFANTIL UNIVERSITARIO DE SAN JOSE,900098476,Privada,,CAMAS,Cuidado Intensivo Adulto,20.0
977,Unidad de Servicios de Salud Bosa,900959048,Pública,3.0,CAMAS,Adultos,20.0
1021,LINDE COLOMBIA S.A. - AGENCIA BUCARAMANGA,860005114,Privada,,CAMAS,Institución Paciente Crónico,20.0
1034,MIOCARDIO S.A.S,900328323,Privada,,CAMAS,Cuidado Intensivo Adulto,20.0
1045,Sociedad de Cirugía de Bogotá - Hospital de San José,899999017,Privada,,CAMAS,Pediátrica,19.0
1046,Sociedad de Cirugía de Bogotá - Hospital de San José,899999017,Privada,,CAMAS,Cuidado Intensivo Adulto,19.0
1047,CLINICA VIP CENTRO DE MEDICINA INTERNACIONAL,900485519,Privada,,CAMAS,Adultos,19.0
1048,UNIDAD DE SERVICIOS DE SALUD SANTA CLARA,900959051,Pública,3.0,CAMAS,Pediátrica,19.0
1049,UNIDAD DE SERVICIOS DE SALUD LA ESTRELLA,900958564,Pública,3.0,CAMAS,Psiquiatría,19.0
1050,Unidad de Servicios de Salud Occidente de Kennedy,900959048,Pública,3.0,CAMAS,Cuidado básico neonatal,19.0
1090,CLINICA ESIMED BOGOTA NORTE,800215908,Privada,,CAMAS,Adultos,18.0
1091,FUNDACION SANTA FE DE BOGOTA,860037950,Privada,,CAMAS,Cuidado Intermedio Adulto,18.0
1092,HOSPITAL UNIVERSITARIO SAN IGNACIO,860015536,Privada,,CAMAS,Cuidado Intensivo Adulto,18.0
