,direccion,clase_de_prestador,nit_ips,codigo_de_habilitacion,id_ips,nombre_ips,longitud_ips,latitud_ips,capacidad
85,CARRERA 45 # 100 - 74,Instituciones - IPS,800215908,110010485723,2694,TORRE DE ESPECIALISTAS ESIMED AUTOPISTA NORTE,-74.0563590899765,4.688202169661672,116.0
86,CARRERA 12 # 138 - 91,Instituciones - IPS,800215908,110010485726,2696,CLINICA ESIMED BOGOTA NORTE,-74.0378368897283,4.7195643298109315,116.0
87,CALLE 74 # 20 C - 19,Instituciones - IPS,800215908,110010485729,2699,CLINICA ESIMED SANTA ROSA DE LIMA,-74.06394449028673,4.663097229991093,116.0
88,CR 45 NO. 94-67,Instituciones - IPS,800215908,110010485733,2702,CLINICA ESIMED MATERNO INFANTIL,-74.05852690981003,4.682992220239579,116.0
89,AV 68 N°13 71,Instituciones - IPS,800215908,110010485732,2710,CENTRO DE ATENCION DE URGENCIAS AV. 68 ESIMED,-74.11704433971902,4.638202029689428,116.0
90,Kr 15 No. 51 - 35,Instituciones - IPS,860013570,110010559701,385,Centro de Atención en Salud Cafam Calle 51,-74.06811967018281,4.638939689897959,10.0
91,AK 68 No.90-88,Instituciones - IPS,860013570,110010559704,388,Centro de Atención en Salud Cafam Floresta,-74.07480438006333,4.685898209813757,10.0
92,CRA 78 K 37 A 53 SUR,Instituciones - IPS,860013570,110010559705,389,Centro de Atención en Salud Cafam Kennedy,-74.15429278983724,4.6236398703661985,10.0
93,TV 114 # 142 A 90,Instituciones - IPS,860013570,110010559711,922,Centro de Atención en Salud Cafam Suba,-74.10299942998344,4.747742329999327,10.0
94,Kr. 45 Nº 146 - 48 piso 2,Instituciones - IPS,860013570,110010559714,1229,Centro de Atención en Salud Cafam Granada Hills,-74.0496990900545,4.7293496798840655,10.0
95,Carrera 16 Nº 52-35,Instituciones - IPS,860013570,110010559719,1570,"Laboratorio Clínico CAFAM, Central de Procesamiento",-74.0687451302842,4.64017122986806,10.0
96,Av. Cra. 68 No. 90-88 Cafam Floresta Mundo Comercial Local 10-13,Instituciones - IPS,860013570,110010559725,1838,Óptica Cafam Floresta,-74.07599232027988,4.686080089876407,10.0
97,"Carrera 46 N° 95-56 Consultorios: 201, 202, 203, 204, 205, 303, 304, 306 y 405",Instituciones - IPS,860013570,110010559732,2824,Centro de Cardiologia Cafam La Castellana,-74.05905641995763,4.6842764797168766,10.0
98,Calle 51 No. 15- 34,Instituciones - IPS,860013570,110010559702,386,Centro de Atención en Salud Cafam Clínica,-74.06811967018281,4.638939689897959,10.0
99,TV 94 Nº 82 20,Instituciones - IPS,860013570,110010559703,387,Centro de Atención en Salud Cafam Quirigua,-74.10435355044272,4.708103400017053,10.0
100,Calle 27 Nº 26- 24 Sur,Instituciones - IPS,860013570,110010559713,1228,Centro de Atención en Salud Cafam Centenario,-74.11084534981094,4.586714489671007,10.0
101,Calle 127 Nº 21-85,Instituciones - IPS,860013570,110010559722,1813,Centro de Atencion en Salud CAFAM Calle 127,-74.05276103992124,4.7059599503099365,10.0
102,cra 5 no 15 80 piso 2,Instituciones - IPS,860013570,110010559727,2177,Centro de Atención en Salud Cafam Procuraduría,-74.07143303963295,4.601315840264245,10.0
103,Carrera 17 N° 90 - 13,Instituciones - IPS,860013570,110010559730,2593,Centro de Atención en Salud Cafam Calle 90,-74.0545912198704,4.675456359660089,10.0
104,KR 13 # 48-47,Instituciones - IPS,860013570,110010559712,1151,Centro de Atención en Salud Cafam Calle 48,-74.06624133963611,4.6357741397773555,10.0
105,Calle 134 No. 7-83 modulo 211 ( Torre 2 piso 1 modulo 1) y modulo 212 ( Torre 2 piso 1 modulo 2),Instituciones - IPS,860013570,110010559726,1921,Centro de Atención en Salud Cafam El Bosque,-74.03016522959122,4.711836589832858,10.0
106,Carrera 14 # 94 A - 55,Instituciones - IPS,860013570,110010559731,2780,Óptica Cafam Calle 94,-74.04928410971574,4.680357009902143,10.0
107,CRA 16 # 86 A 32,Instituciones - IPS,860073087,110010522701,392,LA FONT LTDA CIENCIA ACADEMIA MEDICA RESORT,-74.05476430995428,4.672225819763555,8.0
108,CRA 8 # 17 45 SUR,Instituciones - IPS,860015888,110010566801,412,HOSPITAL UNIVERSITARIO CLINICA SAN RAFAEL,-74.09133121994455,4.576650720256573,149.0
109,CARRERA 8#17-44 SUR,Instituciones - IPS,860015888,110010566809,2974,HOSPITAL UNIVERSITARIO CLINICA SAN RAFAEL,-74.0902814702631,4.575976670104537,149.0
110,CRA 16 # 82 74 CONS 619 313 314 y 315,Instituciones - IPS,830005028,110010959903,422,SEDE SAN SEBASTIAN,-74.05655118032695,4.668640220074973,113.0
111,"Carrera 16 A No 82 . 47 Piso 1 Consultorio 2 y Piso 2 Consultorio 1, Consultorio 3 y Consultorio 5",Instituciones - IPS,830005028,110010959908,1818,CENTRO MATERNO FETAL Y NEONATAL CLINICA DEL COUNTRY,-74.05756311991811,4.6686070103176025,113.0
112,CRA 16 # 82 57,Instituciones - IPS,830005028,110010959901,421,CLINICA DEL COUNTRY IPS,-74.05689998986358,4.668954789601641,113.0
113,CALLE 83 No. 16 A-43 PISO 1,Instituciones - IPS,830005028,110010959904,1282,CENTRO DE INVESTIGACIÒN CLINICA DEL COUNTRY,-74.0571041499782,4.669140989575518,113.0
114,"CALLE 83 No 16A-10 piso 2,3,4,5",Instituciones - IPS,830005028,110010959905,1348,CENTRO DE ONCOLOGIA CLINICA DEL COUNTRY,-74.05716561001499,4.669350110046718,113.0
115,CARRERA 16 No 82 - 32,Instituciones - IPS,830005028,110010959909,2115,CENTRO DIAGNOSTICO - CLINICA DEL COUNTRY,-74.05674433967262,4.668119930114554,113.0
116,CARRERA 16 No 84A - 09 Cons 321 y 322,Instituciones - IPS,830005028,110010959907,1627,DEPARTAMENTO DE IMAGENES DIAGNOSTICAS CLINICA DEL COUNTRY 2,-74.05643813992486,4.669929490186875,113.0
117,DIAG 115 A # 70 C 75,Instituciones - IPS,860006656,110010644701,433,FUNDACION ABOOD SHAIO,-74.0728701302885,4.698065880430355,184.0
118,DIAGONAL 115A No. 70 C 30,Instituciones - IPS,860006656,110010644702,981,FUNDACIÓN ABOOD SHAIO,-74.07259231999868,4.698787080354261,184.0
119,CL 45 F # 16 A 11,Instituciones - IPS,860010783,110010752101,491,CLINICA NUEVA,-74.07096126959856,4.634260959855697,80.0
120,TRANSVERSAL 16A No. 45D-32,Instituciones - IPS,860010783,110010752105,1762,SEDE B,-74.07071997043515,4.634054509727534,80.0
121,CALLE 74 # 76 65,Instituciones - IPS,800085486,110010802401,512,CLINICA PARTENON,-74.09743571966116,4.692286979731964,155.0
122,CRA 76 # 73 35,Instituciones - IPS,800085486,110010802402,513,CLINICA PARTENON CONSULTA EXTERNA,-74.09795765970586,4.6918972598423245,155.0
123,CALLE 77 No. 73A-10,Instituciones - IPS,800085486,110010802406,1458,LABORATORIO CLINICO PARTENON SEDE PRINCIPAL,-74.09260778974367,4.693921790401134,155.0
124,KR 19 C # 91 17,Instituciones - IPS,800117564,110010793901,519,CLINICA DE LA MUJER,-74.05725003009213,4.677681020205781,12.0
125,CRA. 19C No. 91-08,Instituciones - IPS,800117564,110010793902,1441,CENTRO ADMINISTRATIVO Y ASISTENCIAL CM,-74.05688650974442,4.677360079891244,12.0
126,KR 19 C 90-30 PI 4,Instituciones - IPS,800117564,110010793903,1965,UNIDAD MATERNO FETAL CLINICA DE LA MUJER S.A.S.,-74.05700350992028,4.67714128962589,12.0
127,Cra 19C #90-14 CONSULTORIOS 201 AL 209,Instituciones - IPS,800117564,110010793904,2724,Centro de Fertilidad Clínica de la Mujer,-74.05729847982867,4.676778880327035,12.0
128,CARRERA 19C # 90-14 CONSULTORIO 604,Instituciones - IPS,800117564,110010793905,172,CONSULTORIO ESPECIALISTAS CM (ANESTESIOLOGOS CLINICA DE LA MUJER),-74.05723194161558,4.676863747222235,12.0
129,CALLE 18 No 106-48,Instituciones - IPS,860028947,110010773701,547,CENTRO ASISTENCIAL MADRE BERNARDA,-74.14794298986095,4.6783924597765765,51.0
130,CALLE 53 SUR # 79 D 71,Instituciones - IPS,860007336,110010817103,567,CLINICA COLSUBSIDIO CIUDAD ROMA,-74.17268153996008,4.615096770157676,48.0
131,AK7 # 123 65 PI 3 Y 4,Instituciones - IPS,860007336,110010817104,568,CENTRO MEDICO COLSUBSIDIO USAQUEN,-74.02953683020219,4.6991496304380895,48.0
132,CRA 111 A # 82 36,Instituciones - IPS,860007336,110010817106,570,CENTRO MEDICO CIUDADELA COLSUBSIDIO,-74.11494252988919,4.720804729843275,48.0
133,AK 1 # 76 A 04 SUR,Instituciones - IPS,860007336,110010817108,571,CENTRO MEDICO COLSUBSIDIO SANTA LIBRADA,-74.11535804023396,4.51244242968538,48.0
134,AC 13 # 62 96,Instituciones - IPS,860007336,110010817109,572,CENTRO MEDICO COLSUBSIDIO PUENTE ARANDA,-74.11407407011355,4.634544910274792,48.0
135,"CALLE 75 # 13-37 Pisos 1, 2 y3",Instituciones - IPS,860007336,110010817112,730,CAJA COLOMBIANA DE SUBSIDIO FAMILIAR COLSUBSIDIO CLINICA COLSUBSIDIO EL LAGO,-74.05876090028029,4.661279939814212,48.0
136,CL 12 # 7 65 SOTANO,Instituciones - IPS,860007336,110010817120,956,CONSULTORIO DE EMPRESA ALTAS CORTES,-74.07551389013598,4.598993020169087,48.0
137,CL 13 # 68 A 76,Instituciones - IPS,860007336,110010817123,959,CONSULTORIO MEDICO CASA LUKER,-74.12010693008456,4.638882410228659,48.0
138,AK 96 # 24 C 94 IN 2,Instituciones - IPS,860007336,110010817124,960,CONSULTORIO DE EMPRESA COCACOLA,-74.12673634955766,4.679094899749136,48.0
139,AC 24 # 53 28 TO B SOTANO 2,Instituciones - IPS,860007336,110010817128,962,CONSULTORIO DE EMPRESA TRIBUNALES DE CUNDINAMARCA,-74.09889558979569,4.64064685972074,48.0
140,TV 93 # 65 A 82 PI 2,Instituciones - IPS,860007336,110010817129,963,CONSULTORIO DE MEPRESA PROTELA,-74.11643993972112,4.693413009557896,48.0
141,TV 78 H # 42 C 10 SUR PI 2,Instituciones - IPS,860007336,110010817132,986,CENTRO MEDICO COLSUBSIDIO PRIMERO DE MAYO,-74.16131018000345,4.6151265602044695,48.0
142,KR 85 C# 53 21 SUR,Instituciones - IPS,860007336,110010817133,1048,CENTRO MEDICO COLSUBSIDIO CHICALA,-74.17920162997153,4.62353886030335,48.0
143,CL 38 SUR # 18 30,Instituciones - IPS,860007336,110010817136,1283,CENTRO MEDICO COLSUBSIDIO QUIROGA,-74.11846726034928,4.5765534402456876,48.0
144,CL 26 SUR # 93 D 12,Instituciones - IPS,860007336,110010817144,1966,CENTRO MEDICO COLSUBSIDIO IPANEMA,-74.1679836304002,4.648740529836146,48.0
145,AK 72 # 63 F 49,Instituciones - IPS,860007336,110010817145,1967,PUNTO DE ATENCION EN SALUD AV BOYACA,-74.10313087956067,4.676570480122453,48.0
146,KR 71 D # 6 94 SUR Local 3505,Instituciones - IPS,860007336,110010817156,137,CONSULTORIO MÉDICO COLSUBSIDIO PLAZA DE LAS AMERICAS,-74.13528837035128,4.618916270168504,48.0
147,CL 26 # 24 52 PI 1 Y 3,Instituciones - IPS,860007336,110010817105,569,CENTRO MEDICO COLSUBSIDIO CALLE 26,-74.07738489042995,4.622320839572849,48.0
148,CALLE 163 A # 15 77/89,Instituciones - IPS,860007336,110010817114,797,CLINICA MATERNO INFANTIL COLSUBSIDIO,-74.03791608969532,4.742021859930547,48.0
149,KR 101 # 69 - 67,Instituciones - IPS,860007336,110010817116,880,CENTRO MEDICO COLSUBSIDIO TIERRA GRATA,-74.12025855043316,4.701167580131699,48.0
150,CL 17 # 114 12 LC 5-6-18,Instituciones - IPS,860007336,110010817117,881,CENTRO MEDICO COLSUBSIDIO FONTIBON,-74.15404358010944,4.682188299955007,48.0
151,AK 45 # 176 31 PI 2,Instituciones - IPS,860007336,110010817118,928,CENTRO MEDICO COLSUBSIDIO PORTAL DEL NORTE,-74.04633756012534,4.757124979818798,48.0
152,AUTOP SUR # 71 75,Instituciones - IPS,860007336,110010817127,961,CONSULTORIO MEDICO MEXICHEM COLOMBIA SAS,-74.16433437008554,4.595529030390633,48.0
153,CL 19 SUR # 21-32 PI 3 y 4,Instituciones - IPS,860007336,110010817134,1119,CENTRO MEDICO COLSUBSIDIO RESTREPO,-74.10355215978451,4.5858549399415685,48.0
