,direccion,clase_de_prestador,nit_ips,codigo_de_habilitacion,id_ips,nombre_ips,longitud_ips,latitud_ips
83,CALLE 76 # 13 46,Instituciones - IPS,800065396,110010240401,263,IDIME S.A SEDE LAGO,-74.05785892975129,4.662046010164617
84,AK 45 # 122 68,Instituciones - IPS,800065396,110010240402,264,IDIME S.A SEDE NORTE,-74.05382660983317,4.703321600066291
85,KR 14 # 127 11 CS 101,Instituciones - IPS,800065396,110010240403,265,IDIME LA CAROLINA,-74.04108265017354,4.704414379840505
86,Kr 21 No.22-66/68 SUR CN 104-P2,Instituciones - IPS,800065396,110010240406,266,IDIME S.A SEDE SUR,-74.10503359038418,4.584190979567926
87,CRA 78 No 34 SUR - 32,Instituciones - IPS,830027558,110010231703,268,IMEVI LTDA,-74.1478141597711,4.623694960246132
88,TRV. 60 No. 115 - 27/37,Instituciones - IPS,830027558,110010231705,269,IMEVI LTDA,-74.07001203960075,4.6985560697349324
89,AV 9 # 116 20 LC 108 CS 312,Instituciones - IPS,800112384,110010289401,276,CIRULASER ANDES S.A,-74.03378007993891,4.694807300317706
101,KR 49 N. 102 A 06,Instituciones - IPS,800091030,110010354201,311,CENTRO INTEGRAL DE ATENCION EN SALUD MENTAL LTDA,-74.06001886956314,4.6897675104372665
111,Avenida Calle 6 No. 49 - 21,Instituciones - IPS,800215908,110010485704,344,CAFI PUENTE ARANDA,-74.10705640955443,4.625279430426861
119,KR 16 # 82 95 CS 301 403,Instituciones - IPS,800233471,110010548004,373,SERVIOFTALMOS - COUNTRY,-74.05654479959351,4.66893613978691
121,KR 16 A # 79 33,Instituciones - IPS,830013594,110010557701,377,DEXA DIAB SERVICIOS MEDICOS LTDA,-74.05873681015932,4.666411840259712
124,Kr 15 No. 51 - 35,Instituciones - IPS,860013570,110010559701,385,Centro de Atención en Salud Cafam Calle 51,-74.06811967018281,4.638939689897959
125,AK 68 No.90-88,Instituciones - IPS,860013570,110010559704,388,Centro de Atención en Salud Cafam Floresta,-74.07480438006333,4.685898209813757
126,CRA 78 K 37 A 53 SUR,Instituciones - IPS,860013570,110010559705,389,Centro de Atención en Salud Cafam Kennedy,-74.15429278983724,4.6236398703661985
127,CRA 16 # 86 A 32,Instituciones - IPS,860073087,110010522701,392,LA FONT LTDA CIENCIA ACADEMIA MEDICA RESORT,-74.05476430995428,4.672225819763555
133,CRA 8 # 17 45 SUR,Instituciones - IPS,860015888,110010566801,412,HOSPITAL UNIVERSITARIO CLINICA SAN RAFAEL,-74.09133121994455,4.576650720256573
134,CRA 16 # 82 74 CONS 619 313 314 y 315,Instituciones - IPS,830005028,110010959903,422,SEDE SAN SEBASTIAN,-74.05655118032695,4.668640220074973
137,AC 134 Nº 7B- 83 Oficina 214 / 216-2 / 306 / 312 / 318 / 411/ 419 / 618-1 / 621-1 / 621-3 / 706 / 806 / 814 / 816 / 817,Instituciones - IPS,800231602,110010614601,425,SOCIEDAD DE CIRUGIA OCULAR S.A.,-74.03207532995624,4.711859999597484
138,KR 7 B # 127 A 14,Instituciones - IPS,830073010,110010625801,430,MEDIPORT,-74.02996728042847,4.703865409943057
139,DIAG 115 A # 70 C 75,Instituciones - IPS,860006656,110010644701,433,FUNDACION ABOOD SHAIO,-74.0728701302885,4.698065880430355
141,KR 7 C # 125 11 PISO 2 CS 401 - 405,Instituciones - IPS,860450371,110010647901,436,CENTRO DE DIAGNOSTICO Y DE CIRUGÍA AMBULATORIA USANAR LTDA SIGLA CDQ - USANAR,-74.03205563978354,4.701356990104172
158,CL 45 F # 16 A 11,Instituciones - IPS,860010783,110010752101,491,CLINICA NUEVA,-74.07096126959856,4.634260959855697
160,CRA 24 # 62 50,Instituciones - IPS,860043998,110010735707,496,OPTICENTRO INTERNACIONAL CALLE 63,-74.07261331991509,4.6506040698756435
161,CALLE 19 SUR # 21 32 PI 2,Instituciones - IPS,860043998,110010735715,499,OPTICENTRO INTERNACIONAL OPTICA RESTREPO,-74.10355215978451,4.5858549399415685
163,AC 26 No 66 A 48,Instituciones - IPS,860066942,110010733503,503,UNIDAD DE SERVICIOS CALLE 26,-74.10170140033051,4.652548090263403
164,"KR. 19A Nº 85-11 OFICINA 401, 402, 406, 407, 408, 409 PISO 5 Y 6",Instituciones - IPS,800061267,110010757001,509,CENTRO OFTALMOLOGICO COLOMBIANO,-74.0578608296881,4.671655940086139
165,CALLE 74 # 76 65,Instituciones - IPS,800085486,110010802401,512,CLINICA PARTENON,-74.09743571966116,4.692286979731964
167,KR 19 C # 91 17,Instituciones - IPS,800117564,110010793901,519,CLINICA DE LA MUJER,-74.05725003009213,4.677681020205781
169,CRA 7 # 54 27,Instituciones - IPS,811007832,110010778204,530,IPS SURA CHAPINERO BOGOTA,-74.06277503021222,4.640387520123272
172,CALLE 18 No 106-48,Instituciones - IPS,860028947,110010773701,547,CENTRO ASISTENCIAL MADRE BERNARDA,-74.14794298986095,4.6783924597765765
178,CALLE 53 SUR # 79 D 71,Instituciones - IPS,860007336,110010817103,567,CLINICA COLSUBSIDIO CIUDAD ROMA,-74.17268153996008,4.615096770157676
179,AK7 # 123 65 PI 3 Y 4,Instituciones - IPS,860007336,110010817104,568,CENTRO MEDICO COLSUBSIDIO USAQUEN,-74.02953683020219,4.6991496304380895
180,CRA 111 A # 82 36,Instituciones - IPS,860007336,110010817106,570,CENTRO MEDICO CIUDADELA COLSUBSIDIO,-74.11494252988919,4.720804729843275
181,AK 1 # 76 A 04 SUR,Instituciones - IPS,860007336,110010817108,571,CENTRO MEDICO COLSUBSIDIO SANTA LIBRADA,-74.11535804023396,4.51244242968538
182,AC 13 # 62 96,Instituciones - IPS,860007336,110010817109,572,CENTRO MEDICO COLSUBSIDIO PUENTE ARANDA,-74.11407407011355,4.634544910274792
183,KR 80 # 170 85,Instituciones - IPS,800118223,110010868401,578,ATARDECER DE LOS AÑOS LTDA,-74.07019782018467,4.764073170272862
184,Calle 6 A # 70 - 06,Instituciones - IPS,800201496,110010843701,582,CLINICA DE ORTOPEDIA Y ACCIDENTES LABORALES,-74.13091696965107,4.630525799943978
191,AK 45 104-76,Instituciones - IPS,830078325,110010862601,598,UNIDAD MEDICA CECIMIN ORGANIZACIÓN SANITAS INTERNACIONAL,-74.05569395039068,4.692200680430742
194,KR 111 # 159 A 61,Instituciones - IPS,830113849,110010910401,604,CLINICA JUAN N CORPAS LTDA,-74.09317782019878,4.761183500429389
195,CALLE 74A # 20C -12,Instituciones - IPS,830118794,110010891001,607,CLINICA SANARTE,-74.06342082996827,4.663863830192282
196,CALLE 34 # 14 52,Instituciones - IPS,860013779,110010899501,610,ASOCIACION PROBIENESTAR DE LA FAMILIA COLOMBIANA PROFAMILIA,-74.06945427025097,4.622747590286238
197,CL 163 A # 13 B 60,Instituciones - IPS,860035992,110010911101,614,FUNDACION CARDIO INFANTIL INSTITUTO DE CARDIOLOGIA,-74.03449838002663,4.741346699750187
198,CL 120 A # 7-59,Instituciones - IPS,860049972,110010893002,616,ORIENTAME - SEDE USAQUEN,-74.03223009979824,4.697540279965183
199,CRA 17 # 33 50,Instituciones - IPS,860049972,110010893004,617,ORIENTAME SEDE TEUSAQUILLO,-74.07215874992345,4.6223595402725755
203,CLL 27 SUR No 21 A 19,Instituciones - IPS,800003765,110010952301,623,VIRREY SOLIS I.P.S S.A. OLAYA,-74.10887776984411,4.582538330145229
204,KR 9 A N° 22 33 SUR,Instituciones - IPS,800003765,110010952305,624,VIRREY SOLIS IPS S.A-20 DE JULIO,-74.09459633998247,4.575125450402765
205,KR 78 F # 41 B 06 SUR,Instituciones - IPS,800003765,110010952306,625,VIRREY SOLIS IPS S.A-KENNEDY,-74.15755239960922,4.61596682972973
206,AC 145 No. 88-76,Instituciones - IPS,800149384,110010918603,630,CLINISANITAS SUBA,-74.08353828993906,4.737664289640285
207,TRV 59 A 114 - 18 PISO 3,Instituciones - IPS,800149384,110010918614,637,LABORATORIO CLINICO SANITAS SALUD OCUPACIONAL,-74.06840229005266,4.696659679755972
208,CRA 21 NO. 22-68 SUR,Instituciones - IPS,800149453,110010917802,638,CENTRO POLICLINICO DEL OLAYA,-74.10503359038418,4.584190979567926
209,TV 14 48 36 SUR,Instituciones - IPS,800149453,110010917804,639,DONTOLUCIA,-74.12591736000469,4.568677029582435
212,Carrera 21 # 52 A 12,Instituciones - IPS,830079896,110010912401,657,UNIDAD MEDICA BETA SALUD LTDA GALERIAS,-74.07186986969435,4.641058749667348
215,CRA 11 # 68 36,Instituciones - IPS,830117759,110010917701,663,CLINICA DEL SENO IPS LTDA,-74.0607904999343,4.653713979719108
216,CRA 13 # 48 63,Instituciones - IPS,860002541,110010936106,667,UNIMARLY,-74.06618467031473,4.635974730060717
217,AV DE LAS AMERICAS # 71 C 29,Instituciones - IPS,860090566,110010966601,675,CLINICA DEL OCCIDENTE S.A.,-74.13567718995233,4.62937468005086
218,CRA 8 # 0 29 SUR,Instituciones - IPS,899999032,110010922401,676,EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO DE LA SAMARITANA,-74.08371026970525,4.587218050013217
222,CRA 13 # 51 - 87,Instituciones - IPS,860066191,110011005803,700,CENTRO MEDICO FEDERMAN CHAPINERO,-74.0655482301056,4.6390645200392
223,CRA 73 # 6 - 08 SUR,Instituciones - IPS,860066191,110011005805,701,CENTRO MEDICO FEDERMAN KENNEDY,-74.14262040981879,4.621252370100685
234,"CALLE 75 # 13-37 Pisos 1, 2 y3",Instituciones - IPS,860007336,110010817112,730,CAJA COLOMBIANA DE SUBSIDIO FAMILIAR COLSUBSIDIO CLINICA COLSUBSIDIO EL LAGO,-74.05876090028029,4.661279939814212
240,CL 51 No 72 17,Instituciones - IPS,830128856,110011275109,743,IPS NORMANDIA,-74.10904718042862,4.669608770156032
242,KR 7 32 - 12 LOCAL 304,Instituciones - IPS,800149384,110010918623,748,ODONTOSANITAS SAN MARTIN,-74.06770965034106,4.618808579763447
245,DG 16 N° 104-51 LOC 11,Instituciones - IPS,800003765,110010952309,764,VIRREY SOLIS I.P.S S.A. FONTIBON,-74.15336055955788,4.670883649609113
250,AK 14 42-66,Instituciones - IPS,800149384,110010918628,785,LABORATORIO TEUSAQUILLO,-74.0677070200739,4.630604669767957
257,AC 80 # 100 52 LC N2 141,Instituciones - IPS,860043998,110010735721,806,OPTICENTRO INTERNACIONAL PORTAL 80,-74.11221639003858,4.710292720024435
259,KR 16 # 82 74 CS 7181,Instituciones - IPS,800233471,110010548016,810,SAN SEBASTIAN DEL COUNTRY SERVIOFTALMOS,-74.05651110019393,4.668608119637409
262,KR 86 # 6 37 LC 1-36,Instituciones - IPS,860043998,110010735724,818,OPTICENTRO INTERNACIONAL CENTRO COMERCIAL TINTAL PLAZA,-74.1559435196303,4.641223920313908
264,CARRERA 47 N°94-06,Instituciones - IPS,804013017,110011502601,825,CENTRO NACIONAL DE ONCOLOGIA S.A.,-74.05985354002497,4.682293540035158
266,Carrera 67 N° 4 G - 31 Interior 2,Instituciones - IPS,900033752,110011507001,828,OPTICA UNIVER AMERICAS,-74.12187140006732,4.627755230009776
267,AK 45 # 137 48,Instituciones - IPS,800215908,110010485717,832,CAFI CALLE 138,-74.05054292970314,4.723114389822485
268,CL 106 # 19 19,Instituciones - IPS,800215908,110010485718,833,CEMES 106,-74.05123203005255,4.692604020412252
271,TV 76 # 83 79,Instituciones - IPS,860066191,110011005807,842,CENTRO MEDICO MINUTO DE DIOS,-74.09258275010345,4.7045697697499005
280,AV BOYACA # 6D 08,Instituciones - IPS,800003765,110010952311,858,VIRREY SOLIS I.P.S S.A. OCCIDENTE,-74.13721283028613,4.632228849852349
290,KR 13 A No 102 86,Instituciones - IPS,830146310,110011594101,884,CLINICA CORPOLASER,-74.04480273007194,4.686431449788632
299,CL 94 # 23 43 PISO 3 CONSULTORIOS 305-306 - 307,Instituciones - IPS,830027558,110010231708,910,IMEVI LTDA,-74.05755959043736,4.681134420111582
304,TV 114 # 142 A 90,Instituciones - IPS,860013570,110010559711,922,Centro de Atención en Salud Cafam Suba,-74.10299942998344,4.747742329999327
305,AK 45 100 90,Instituciones - IPS,830128856,110011275123,927,IPS CHICO NAVARRA,-74.05633013996984,4.688380420435233
310,CARRERA 15 No. 1-59 SUR HOSPITAL SANTA CLARA BLOQUE C- UNIDAD RENAL.,Instituciones - IPS,805011262,110010683409,945,RTS AGENCIA SANTA CLARA,-74.09171706971527,4.591137119570649
311,CL 27 SUR # 20 14,Instituciones - IPS,830128856,110011275125,947,IPS OLAYA,-74.10803835978815,4.5818681404292
318,CL 12 # 7 65 SOTANO,Instituciones - IPS,860007336,110010817120,956,CONSULTORIO DE EMPRESA ALTAS CORTES,-74.07551389013598,4.598993020169087
319,CL 13 # 68 A 76,Instituciones - IPS,860007336,110010817123,959,CONSULTORIO MEDICO CASA LUKER,-74.12010693008456,4.638882410228659
320,AK 96 # 24 C 94 IN 2,Instituciones - IPS,860007336,110010817124,960,CONSULTORIO DE EMPRESA COCACOLA,-74.12673634955766,4.679094899749136
321,AC 24 # 53 28 TO B SOTANO 2,Instituciones - IPS,860007336,110010817128,962,CONSULTORIO DE EMPRESA TRIBUNALES DE CUNDINAMARCA,-74.09889558979569,4.64064685972074
322,TV 93 # 65 A 82 PI 2,Instituciones - IPS,860007336,110010817129,963,CONSULTORIO DE MEPRESA PROTELA,-74.11643993972112,4.693413009557896
326,CL 185 # 45 30 LC 1-12,Instituciones - IPS,860043998,110010735727,969,OPTICENTRO INTERNACIONAL CENTRO COMERCIAL SANTAFE,-74.04460447997356,4.763186929789419
329,TV 3 No49-00,Instituciones - IPS,830040256,110011693801,972,HOSPITAL MILITAR CENTRAL,-74.06065923990161,4.635200909632
331,CALLE 16 # 6 -66 PISO 2,Instituciones - IPS,800149384,110010918635,982,CLINISANITAS CENTRO MEDICO EMPRESARIAL,-74.07227174001989,4.602637450372857
333,TV 78 H # 42 C 10 SUR PI 2,Instituciones - IPS,860007336,110010817132,986,CENTRO MEDICO COLSUBSIDIO PRIMERO DE MAYO,-74.16131018000345,4.6151265602044695
337,KR 7 No. 78-96,Instituciones - IPS,860066942,110010733521,1011,CAJA DE COMPENSACION FAMILIAR / CONSULTORIO EMPRESARIAL CORPORACION CLUB EL NOGAL,-74.05070076998679,4.660107089947751
338,CL 64 G # 90 A 40,Instituciones - IPS,800216958,110011115803,1012,ASISTIR SALUD SAS ENGATIVA,-74.11503975006082,4.6886688300082415
350,DG 16 # 104 51,Instituciones - IPS,860066942,110010733522,1034,UNIDAD DE SERVICIOS FONTIBON,-74.15336055955788,4.670883649609113
353,KR 85 C# 53 21 SUR,Instituciones - IPS,860007336,110010817133,1048,CENTRO MEDICO COLSUBSIDIO CHICALA,-74.17920162997153,4.62353886030335
356,AC 26 SUR 68 I - 12 PISO 2,Instituciones - IPS,800149384,110010918639,1055,LABORATORIO UAP KENNEDY,-74.13319318020677,4.612184159818336
361,KR 69 # 16 79 PI 2,Instituciones - IPS,860066942,110010733524,1069,CAJA DE COMPENSACION FAMILIAR COMPENSAR / CONSULTORIO EMPRESARIAL No. 1 PROENFAR S.A.,-74.12177994977475,4.643877070150313
362,CL 10 # 34 47 PISO 2,Instituciones - IPS,860066942,110010733525,1070,CAJA DE COMPENSACION FAMILIAR COMPENSAR / CONSULTORIO EMPRESARIAL No. 2 PROENFAR S.A.,-74.09925850018732,4.61353363978899
378,AV 15 # 118 -41 CS 403-404-405-406-103,Instituciones - IPS,900173342,110011791401,1123,CORPOESCULTURA IPS E.U,-74.04329289025141,4.697972939634114
379,CRA 19B Nº 84-48,Instituciones - IPS,800127648,110010845602,1124,HORUS GRUPO OFTALMOLOGICO S.A.,-74.05866466017063,4.670907349939106
381,AC 80 # 69 K 27,Instituciones - IPS,860066942,110010733527,1133,CAJA DE COMPENSACION FAMILIAR COMPENSAR SEDE CL 80,-74.08361460990727,4.688965700129948
389,CL 63 # 19 18 /20,Instituciones - IPS,805011262,110010683410,1163,RTS AGENCIA CSR BOGOTA,-74.06916537025897,4.65064800955451
391,Calle 116 No. 15 B 08,Instituciones - IPS,830001007,110010403503,1172,CENTRO MEDICO COLMEDICA SEDE SANTA BARBARA,-74.04420410983458,4.6971429502888595
397,CARRERA 65 No. 5 A 94,Instituciones - IPS,811007832,110010778208,1187,IPS SURA LAS AMERICAS BOGOTA,-74.11908518987366,4.6279471400052445
398,Cl. 100 No. 19 A - 35,Instituciones - IPS,811007832,110010778209,1188,SALUD SURA CALLE 100 BOGOTA,-74.05336090971514,4.685674309981287
403,CL 24 # 29 45,Instituciones - IPS,900210981,110011864201,1197,HOSPITAL UNIVERSITARIO MAYOR-MEDERI,-74.08253638003805,4.622837539673342
404,CL 66 A # 52 25,Instituciones - IPS,900210981,110011864202,1198,HOSPITAL UNIVERSITARIO BARRIOS UNIDOS-MEDERI,-74.08011196003687,4.66368483004687
416,CALLE 127 No. 17 A 81,Instituciones - IPS,830018305,110010919907,1218,JAVESALUD SANTA BEATRIZ,-74.04665428992485,4.704453220158783
419,Kr. 45 Nº 146 - 48 piso 2,Instituciones - IPS,860013570,110010559714,1229,Centro de Atención en Salud Cafam Granada Hills,-74.0496990900545,4.7293496798840655
421,CALLE 147 No. 101- 56 Local 256,Instituciones - IPS,900219120,110011908601,1233,VIVA 1A IPS SUBA,-74.09258665957155,4.744752449571612
426,AV AMERICAS # 69 C 84 94,Instituciones - IPS,800065396,110010240416,1245,INSTITUTO DE DIAGNOSTICO MEDICO SA SEDE OCCIDENTE,-74.13009823971123,4.630034260367399
428,KR 78 # 3 A 40,Instituciones - IPS,800227072,110010822203,1251,EUSALUD CLINICA DE TRAUMATOLOGIA Y ORTOPEDIA,-74.14490833979569,4.627646470065485
429,KR 58 # 128 04,Instituciones - IPS,900237597,110011926701,1253,CLINICA DE CIRUGIA PLASTICA DR YESID MARTINEZ LTDA,-74.0699807503811,4.713868119898977
432,Calle 173 A N° 65-85,Instituciones - IPS,830100595,110010875401,1259,CENTRO DE INVESTIGACIONES DEL SISTEMA NERVIOSO LIMITADA - GRUPO CISNE LTDA,-74.06317576955877,4.759255720111459
439,Kr 16 A # 137 97,Instituciones - IPS,830001007,110010403505,1275,CENTRO MEDICO COLMEDICA SEDE CEDRITOS,-74.04318878988302,4.7219326696792185
441,CL 38 SUR # 18 30,Instituciones - IPS,860007336,110010817136,1283,CENTRO MEDICO COLSUBSIDIO QUIROGA,-74.11846726034928,4.5765534402456876
450,CALLE 91 No 19 C - 62 CS 405 - 406 y 407,Instituciones - IPS,900200848,110011966801,1307,CFZ MEDICINA ESTETICA LTDA,-74.05763010998379,4.6777462203242886
465,KR 24 B 20 89 SUR,Instituciones - IPS,830128856,110011275134,1355,CENTRO MEDICO FAMILIAR AV 1 DE MAYO,-74.10539550005258,4.585117249670174
466,KR 67 A 4G 26,Instituciones - IPS,830128856,110011275136,1357,CENTRO MÉDICO FAMILIAR AMÉRICAS,-74.12187140006732,4.627755230009776
467,AV CALLE 80 No.116 B 35,Instituciones - IPS,830128856,110011275138,1359,CENTRO MEDICO FAMILIAR CALLE 80,-74.12441747980573,4.724608629976896
468,AK 20 No 82-49,Instituciones - IPS,830128856,110011275140,1360,CENTRO MÉDICO FAMILIAR LOS HÉROES,-74.06056690027694,4.670209279935713
469,AC 116 # 20 - 05,Instituciones - IPS,830128856,110011275142,1362,CENTRO MÉDICO FAMILIAR PEPE SIERRA,-74.05190401030927,4.6986153696929005
470,KR 73 BIS Nº 55-74,Instituciones - IPS,900266533,110012004401,1363,INSTITUTO COLOMBIANO DE GERONTOLOGIA Y GERIATRIA LTDA SIGLA ICGG LTDA,-74.10638757968943,4.674798789823114
471,"CL 23 # 66 - 46 INT 4 CONSULTORIOS 518, 519, 603 AL 614 Y 617",Instituciones - IPS,830103525,110010748102,1365,OFTALMOSANITAS CUC,-74.10640329032543,4.64804106970914
472,AV 127 No. 20-78 LC 206 y 207,Instituciones - IPS,800149384,110010918643,1370,CLINISANITAS CENTRO DE ATENCIÓN INTEGRAL PARA LA MUJER,-74.05136808978381,4.706529620258821
481,KR 92 # 145-61,Instituciones - IPS,830113849,110010910403,1407,CENTRO MEDICO CORPAS SUBA,-74.08570300968653,4.738922719707077
484,Cl 139 # 19 - 16,Instituciones - IPS,900266208,110012048001,1413,LEONARDO PINZON BARRETO MEDICOS ASOCIADOS SAS,-74.04675182989672,4.722960430217326
486,"CL 93 B #16 66 CS 102,103,106,107,108",Instituciones - IPS,900294949,110012050601,1417,CENTRO OFTALMOLOGICO MICROCIRUGIA DEL OJO SAS,-74.05217519013397,4.679319329927025
492,KR 7 # 43 82 ED 91,Instituciones - IPS,830018305,110010919909,1424,JAVESALUD CENTRO JAVERIANO DE FORMACION DEPORTIVA,-74.06344857982573,4.630614339905266
500,KR 1 # 20 19,Instituciones - IPS,860013874,110010825802,1448,CASA ESPINOSA,-74.06623545028111,4.603186989913031
501,Autopista Norte Nº 106-30 Con 601-602,Instituciones - IPS,900071884,110012075401,1450,Cirugia Estetica S.A.S.,-74.05557476012216,4.693945930439348
504,CALLE 65G SUR No 79B - 35/39 PISO 1 CONS 9 Y 10,Instituciones - IPS,900033752,110011507006,1457,OPTICA UNIVER BOSA,-74.18669918043689,4.605960990308123
505,CL 110 N. 9 - 80,Instituciones - IPS,860066942,110010733534,1460,CAJA DE COMPENSACION FAMILIAR COMPENSAR UNIDAD DE SERVICIOS DE SALUD EAAAB USAQUEN,-74.03814494000554,4.691778999890476
506,KR 8 # 49 25 OF 101,Instituciones - IPS,900280516,110012083001,1463,VICTORIA UNIDAD DE CIRUGIA PLASTICA AVANZADA S.A.S,-74.06429746980291,4.636274020266859
511,AK 45 No. 93-69/63/53/79,Instituciones - IPS,800003765,110010952318,1477,VIRREY SOLIS IPS.S.A. CASTELLANA,-74.05871046975857,4.681369160123142
517,CALLE 38 A SUR N 34D-50 LOCAL 1041,Instituciones - IPS,860043998,110010735732,1493,OPTICENTRO CENTRO MAYOR,-74.12304345986627,4.592939999671106
521,AK 68 No. 39 - 11 SUR PI 1,Instituciones - IPS,860066942,110010733538,1508,SEDE ALQUERIA,-74.13422718960783,4.602283229935295
530,Carrera 59 A No. 136-95 Pisos 2 y 3,Instituciones - IPS,800223206,110012123802,1526,BIENESTAR IPS S.A.S. SEDE COLINAS,-74.0678991301873,4.729220360030885
533,AK 36 No. 23 - 33 CONSULTORIO No. 13,Instituciones - IPS,830027558,110010231711,1529,ACUEDUCTO,-74.0913745699452,4.626509979715102
537,"AK 45 NO. 106 30 CONS 610, 611, 612, 617",Instituciones - IPS,900353107,110012139001,1553,UNIDAD MÉDICA ONCOLÓGICA S.A.S.,-74.05543662977415,4.69382030965722
543,CALLE 151 N 54 - 15 ET II LC 21,Instituciones - IPS,830001007,110010403506,1560,CENTRO MEDICO COLMEDICA SEDE COLINA CAMPESTRE,-74.0559307597743,4.734165430169529
548,Carrera 16 Nº 52-35,Instituciones - IPS,860013570,110010559719,1570,"Laboratorio Clínico CAFAM, Central de Procesamiento",-74.0687451302842,4.64017122986806
550,Cll 136 N° 52A 46,Instituciones - IPS,900359092,110012151501,1574,Instituto Nacional de Demencias Emanuel SAS,-74.05671662035788,4.723509189861672
561,CL 76 Nro 16a-24/28,Instituciones - IPS,830007355,110010994109,1616,FRESENIUS MEDICAL CARE SEDE FME PREVER CALLE 76 BOGOTA,-74.06024103011941,4.663802330122448
562,Carrera 47 # 93 -42,Instituciones - IPS,900123436,110012183201,1619,SIES SALUD BOGOTÁ,-74.06003587017989,4.681212559949497
564,Cra 49C No. 93-22,Instituciones - IPS,900219120,110011908602,1626,VIVA 1A DIAGNOSTICO,-74.0632984399007,4.681471620363032
570,CALLE 42 #13 A -11,Instituciones - IPS,900348937,110012198701,1639,ESENCIAL IPS,-74.06760119044858,4.629778999826971
575,KR 49B No. 102A 41,Instituciones - IPS,830041883,110010965201,1648,ESPECIALISTAS EN SALUD MENTAL IPS,-74.06090715964868,4.690448109611239
576,Calle 124 Numero 7 38/48 PI 3 Y 4,Instituciones - IPS,900218008,110012206501,1650,Complejo Internacional de Cirugia Plastica S A,-74.04972208962072,4.706182609925853
